Feature.ID	ST3_RPKM_fwd_RNA.Seq	SB3_RPKM_fwd_RNA.Seq	SC3_RPKM_fwd_RNA.Seq	SL3_RPKM_fwd_RNA.Seq	SC4_RPKM_fwd_RNA.Seq	SL4_RPKM_fwd_RNA.Seq	ST4_RPKM_fwd_RNA.Seq	SB4_RPKM_fwd_RNA.Seq	SC2_RPKM_fwd_RNA.Seq	SL2_RPKM_fwd_RNA.Seq	SB2_RPKM_fwd_RNA.Seq	ST2_RPKM_fwd_RNA.Seq	SC1_RPKM_fwd_RNA.Seq	SL1_RPKM_fwd_RNA.Seq	SB1_RPKM_fwd_RNA.Seq	ST1_RPKM_fwd_RNA.Seq
ACTL10	0.053	0.05	0.235	0	0.114	0	0.054	0	0.048	0	0.054	0.019	0.09	0	0.196	0
ACTL6A	2.146	3.055	4.539	1.675	5.656	0.831	1.485	2.153	4.152	0.659	13.247	4.399	5.241	0.966	12.038	3.045
ACTL6B	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0.063	0	0
ACTL7A	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0.338	0	0
ACTL7B	0	0.036	0	0	0	0	0	0	0	0	0.078	0	0	0.069	0	0
ACTL8	0.463	0	0.11	0.103	0.174	0	0	0	0	0	0	0	0	0.208	0	0.031
ACTL9	0	0	0	0	0	0.304	0	0	0	0	0	0	0	0	0	0
ACTN1	3.351	15.584	16.693	9.904	8.775	12.056	2.444	6.193	30.16	5.63	8.19	4.876	15.15	2.583	88.022	4.623
ACTN2	1.569	0.011	0.045	0.056	0.01	0.032	0.073	0.025	0.014	0.092	0.11	0.715	0.054	0.278	0.056	1.942
ACTN4	3.784	22.165	33.68	18.118	16.3	12.786	3.459	6.399	28.549	15.876	11.821	7.832	17.976	3.58	46.761	6.975
ACTR10	1.322	2.878	2.259	2.17	2.008	1.062	0.903	0.187	4.391	0	3.122	2.827	3.492	1.151	9.174	2.094
ACTR1A	2.51	6.727	7.8	6.134	3.14	2.841	2.163	1.309	9.016	9.468	9.846	4.914	4.855	2.126	14.325	4.88
ACTR1B	1.001	2.49	4.706	3.789	1.947	1.616	1.726	7.874	2.475	1.668	4.527	2.643	3.83	1.03	8.353	1.807
ACTR2	17.02	27.79	36.673	13.601	26.921	9.25	23.75	5.331	33.818	13.085	51.681	42.162	35.717	5.471	53.621	43.408
ACTR3	13.773	28.892	26.649	9.771	25.369	5.346	18.032	0.504	30.917	7.407	26.85	35.721	24.142	3.468	42.489	35.425
ACTR3B	0.631	0.702	0.983	1.296	0.793	0.217	0.498	1.902	0.991	0	1.994	1.267	1.154	0.568	1.027	0.803
ACTR3C	1.516	1.343	2.351	2.653	0.163	1.589	1.942	0.562	1.774	0.295	1.556	1.923	2.788	1.434	5.318	1.335
ACTR5	0.434	0.83	1.127	0.361	1.083	0.077	0.712	0	0.899	0	1.827	1.243	0.835	0.43	1.458	1.089
ACTR6	1.441	1.283	1.934	0.984	2.609	1.48	0.895	0.046	1.848	2.547	3.183	2.927	2.15	0.787	2.111	2.238
ACTR8	1.305	1.134	2.384	0.88	1.39	0.41	1.277	1.57	2.412	0.461	3.045	2.429	1.309	0.721	2.668	2.644
ACTRT1	0.149	0	0	0	0	0	0.025	0	0	0	0	0	0	0.202	0	0
ACTRT3	0.376	0.2	0.204	0.287	0.092	0.048	0.092	0.512	0.016	0	0.331	0.078	0.395	0.242	0.306	0.057
ACVR1	1.072	4.145	3.13	3.734	0.892	3.163	0.839	0.439	4.037	0.269	2.397	2.068	4.951	1.682	7.303	1.828
ACVR1B	0.851	1.796	5.867	4.144	2.695	4.584	0.581	0.237	2.755	3.569	2.092	1.103	4.143	1.573	2.037	1.387
ACVR1C	0.605	0.182	1.268	0.246	0.158	0.042	0.122	0	0.196	0.046	1.528	0.189	0.107	0.598	0.056	0.266
ACVR2A	1.047	2.671	2.221	1.303	1.306	0.366	0.659	0.065	1.737	0.638	3.993	2.343	2.915	1.22	2.398	1.863
ACVR2B	0.861	0.472	1.827	1.74	1.229	1.022	0.427	1.694	0.696	0	5.591	0.706	1.264	1.381	2.049	0.763
ACVRL1	0.538	1.299	2.305	0.333	1.439	0.839	0.434	0.104	1.944	0	0.69	0.832	0.484	0.308	1.723	0.952
ACY1	0.128	0.568	1.867	7.953	0.551	3.948	0.175	1.155	1.983	0.998	2.93	0.232	2.105	3.582	4.91	0.171
ACY3	0.331	0	0.419	1.228	0.071	0.628	0.368	2.279	0.149	2.253	0	0.18	0.234	0.671	0.056	0.044
ACYP1	1.248	0.946	2.172	1.296	2.481	0	2.132	0.165	3.979	0	3.763	4.239	4.502	0.562	5.341	2.498
ACYP2	0.352	0.41	0.668	0.73	0.34	0.392	0.661	0	0.317	0	1.174	0.637	0.398	0.475	1.181	1.033
ADA	0.703	0.721	0.4	0.25	0.695	0.251	0.864	0	1.033	1.639	0.829	1.527	0.318	0.063	1.557	1.088
ADAD1	0.716	0	0.06	0.028	0	0	0.033	0	0	0	0	0	0.081	0.688	0	0
ADAD2	0	0.044	0	0	0	0	0	0	0.014	0	0.048	0	0	0.084	0	0
ADAL	1.058	0.418	0.361	0.547	0.408	0.787	0.491	0.029	0.187	3.059	1.281	1.14	1.029	0.782	1.958	0.913
ADAM10	4.605	7.337	6.349	5.187	10.074	5.147	4.082	0.726	8.529	2.984	28.405	10.398	14.005	2.543	30.401	8.838
ADAM11	0.049	0.011	0.031	0.029	0.021	0	0.042	0.052	0	0	0.276	0	0.014	0.066	0.041	0.013
ADAM12	0.493	5.835	1.765	0.137	0.318	0.014	0.674	0.065	3.07	0	1.139	1.044	0.445	0.555	6.177	1.086
ADAM15	0.754	2.447	1.826	0.739	1.015	0.673	0.37	1.875	3.061	1.403	5.336	0.725	1.782	0.414	4.69	1.12
ADAM17	3.436	8.024	6.674	2.199	6.697	1.384	3.665	1.372	4.612	1.992	11.368	7.151	4.894	1.683	15.153	5.92
ADAM18	0.692	0	0.104	0.039	0	0	0.113	1.081	0	0	0	0	0	0.623	0	0
ADAM19	4.02	2.641	2.575	4.039	1.692	4.785	8.845	2.058	2.447	1.485	1.083	8.178	2.18	0.912	3.741	7.492
ADAM2	0.326	0	0.077	0.048	0.018	0	0	0	0	0	0	0	0.046	0.624	0	0
ADAM20	0.463	0.575	0.22	0.366	0.994	0.344	0.79	0	0.012	0.15	0.851	1.313	2.465	0.66	0.699	0.535
ADAM21	0.364	0	0.051	0.048	0.243	0	0.028	0	0	0	0.104	0	0	0.255	0.258	0
ADAM22	0.724	0.348	0.244	0.087	0.414	0.086	0.232	1.606	0.486	0.352	0.157	0.648	0.423	0.714	0.076	0.465
ADAM23	0.916	3.614	0.312	0.021	0.182	0	0.325	0	1.596	0	0.886	0.459	0.239	0.983	0.154	0.677
ADAM28	5.824	0.819	0.833	0.191	1.95	0.757	8.488	9.451	1.291	0	2.283	13.806	3.875	0.791	0.923	11.607
ADAM29	0.194	0	0.041	0.019	0	0.029	0	0.206	0	0	0.017	0.023	0.055	0.233	0	0.017
ADAM30	0.324	0	0.046	0.171	0	0	0.098	0	0	0	0	0.013	0.041	0.324	0	0
ADAM32	0.711	0.221	0.425	0.187	0.713	0.018	0.108	0	1.741	0	0.203	0.2	0.134	0.782	0.318	0.084
ADAM33	0.673	7.603	0.155	0.054	0.329	0	0.23	4.826	0.064	0	0.173	0.543	0.173	0.22	0.349	0.62
ADAM7	0.856	0.015	0.04	0.038	0.014	0	0	0	0	0	0	0	0.054	0.713	0	0
ADAM8	0.522	0.517	0.413	0.387	0.392	0.305	0.902	0.311	0.411	0.127	3.983	0.792	0.535	0.029	3.59	1.097
ADAM9	2.18	9.331	15.804	1.947	18.275	4.896	0.951	0.473	10.346	1.021	6.47	3.397	16.671	1.727	24.744	5.102
ADAMDEC1	1.854	0.144	0.419	0.052	0.285	0.02	1.176	0.093	1.775	0	4.691	2.751	0.325	0.716	4.091	2.97
ADAMTS1	1.342	10.479	4.042	12.301	8.028	26.425	0.664	3.774	11.778	5.219	8.992	0.679	3.942	2.126	0.769	1.668
ADAMTS10	0.407	0.9	0.193	0.241	0.164	1.394	0.66	2.394	0.968	0.691	0.13	0.608	0.503	0.137	0.205	0.475
ADAMTS12	0.434	1.945	2.117	0.193	1.251	0.765	0.096	1.472	5.156	2.28	0.346	0.213	1.623	0.509	12.565	0.255
ADAMTS13	0.153	0.061	0.097	1.087	0.103	2.228	0.082	2.079	0.216	0.933	0.235	0.071	0.296	0.589	0.132	0.023
ADAMTS14	0.163	1.143	0.181	0.036	0.07	0.009112	0.265	0.087	0.227	0.079	0.136	0.155	0.058	0.11	1.241	0.164
ADAMTS15	0.076	0.239	0.288	0.101	0.065	0.575	0.097	0.361	0.415	0	0.049	0.055	0.268	0.137	0.019	0.172
ADAMTS16	0.325	0.232	0.11	0.026	0.028	0	0	0	0.558	0	0.133	0	0.086	0.37	0.603	0.012
ADAMTS17	0.306	0.563	0.161	0.898	0.015	0.546	0.407	0	0.143	0.463	0.384	0.419	0.067	0.306	0.017	0.272
ADAMTS18	0.291	0.272	0.081	0.022	0.007825	0	0	0	0.147	0.071	0.047	0.013	0.041	0.426	0.024	0.009717
ADAMTS19	0.444	0.237	0.013	0.025	0	0	0.108	0	0.032	0	0.109	0.023	0.036	0.533	0	0.011
ADAMTS2	0.228	7.504	4.191	1.273	2.906	4.937	0.27	0.967	4.619	1.302	0.75	0.221	3.032	0.699	10.063	0.325
ADAMTS20	0.563	0	0.036	0.078	0.056	0	0.019	2.266	0	0	1.031	0	0.042	0.93	0.466	0.01
ADAMTS3	0.777	0.19	0.129	0.132	0.016	0.008246	0.025	0.548	0.15	0.072	0.00949	0.181	0.178	0.533	0.087	0.158
ADAMTS4	0.224	2.758	1.855	2.358	2.2	7.968	0.178	0.105	7.806	2.029	0.357	0.126	0.689	0.85	2.494	0.093
ADAMTS5	0.345	1.122	0.599	0.218	0.302	0.477	0.027	0.059	0.655	0	0.08	0.133	0.706	0.301	0.239	0.095
ADAMTS6	0.978	0.559	3.974	0.141	0.605	0.059	0.334	0	0.138	0	0.091	0.553	1.031	0.614	0.795	0.387
ADAMTS7	0.118	0.311	0.211	0.058	0.185	0.262	0.1	1.308	0.353	0	0.332	0.092	0.144	0.106	0.553	0.052
ADAMTS8	0.176	0.192	0.056	0.035	0.051	0.301	0.03	0.436	1.473	0	0.045	0.011	0.1	0.053	0	0.031
ADAMTS9	0.868	4.214	3.987	2.148	3.828	6.906	0.543	0.016	4.889	1.774	0.627	0.699	2.532	1.631	1.344	1.273
ADAMTSL1	0.431	0.232	0.358	0.112	0.266	0.552	0.129	0.043	0.509	0.209	0.055	0.18	0.198	0.485	0.027	0.136
ADAMTSL2	0.26	0.036	0.659	0.618	0.571	1.882	0.107	0.165	0.57	1.418	0.04	0.179	0.619	0.469	0.122	0.125
ADAMTSL3	0.572	0.226	0.334	3.612	0.17	2.624	0.185	0.451	0.7	1.426	0.045	0.324	1.362	2.26	0.039	0.282
ADAMTSL4	0.2	0.946	0.238	1.648	0.172	1.373	0.137	0.345	0.503	0.584	0.308	0.218	0.34	0.496	7.336	0.147
ADAMTSL5	0.075	1.739	0.358	0.268	0.745	0	0.129	0.04	0.452	0	0.097	0.123	0.554	0.068	1.897	0.241
ADAP1	0.046	0.346	3.608	0.192	1.295	0.041	0.048	0.098	2.796	0	0.404	0.286	4.538	0.042	5.042	0.322
ADAP2	1.057	2.301	0.917	1.231	0.32	1.153	0.655	0	1.457	0.761	1.769	1.717	1.861	0.917	4.048	1.212
ADAR	5.919	11.408	11.515	10.37	14.859	7.635	8.792	5.865	11.052	6.549	24.131	14.175	13.945	4.688	43.163	12.824
ADARB1	1.348	1.329	0.64	0.672	0.494	1.729	2.391	5.644	1.77	0.06	5.055	2.614	1.057	0.648	1.995	2.347
ADARB2	0.319	0.036	0.024	0.068	0.154	0.028	0.236	0	0	0	0.006557	0.106	0	0.15	0	0.15
ADAT1	0.881	1.614	1.845	1.153	1.644	0.569	1.753	0.707	1.604	1.771	5.501	2.486	2.096	0.684	5.565	1.977
ADAT2	0.912	0.698	0.414	0.521	2.175	1.152	1.364	0.036	0.062	0.134	1.723	1.347	1.714	0.465	0.693	0.928
ADC	0.148	0.391	0.219	0.117	0.042	0	0.135	0	0.637	0.767	0.101	0.214	0.14	0.044	0.149	0.105
ADCK1	0.53	0.27	0.396	0.086	0.145	0	0.247	1.224	0.246	0	0.223	0.436	0.409	0.521	0.922	0.231
ADCK2	0.455	1.21	1.498	0.945	1.037	0	0.809	0	1.558	1.593	2.384	1.039	1.52	0.697	3.577	1.045
ADCK3	1.289	0.91	4.752	5.699	1.867	4.253	0.855	1.871	2.375	2.433	2.419	2.267	3.999	2.122	2.855	2.397
ADCK4	0.431	0.422	1.309	1.074	0.519	1.557	0.722	0	0.918	0.838	1.438	0.594	0.659	0.544	1.505	0.368
ADCK5	0.219	0.128	0.381	0.325	0.188	0.024	0.112	0.754	0.838	0	0.562	0.159	0.496	0.345	0.68	0.205
ADCY1	0.146	0.193	1.139	1.098	0.378	0.73	0.059	0.556	0.111	0.134	0.239	0.175	0.517	2.063	0.095	0.097
ADCY10	0.695	0.046	0.101	0.353	0	0	0.122	1.325	0.185	2.47	0.143	0.014	0.202	1.27	0	0.042
ADCY2	0.411	0.467	0.021	0.039	0	0.007326	0.112	1.304	0.138	0	0.143	0.077	0.037	0.414	0.066	0.026
ADCY3	0.808	2.5	1.084	0.319	1.841	1.31	0.736	0.311	1.065	0.19	2.475	1.224	1.233	0.287	7.125	1.189
ADCY4	0.521	0.918	0.146	0.034	1.182	0.4	0.544	0.061	0.695	0	0.312	0.598	0.36	0.339	0.155	0.695
ADCY5	0.378	0.088	0.381	0.367	0.629	0.491	0.423	0.146	0.434	0	0.106	0.43	0.292	0.217	0.058	0.505
ADCY6	0.482	1.454	2.776	0.782	1.706	0.839	0.351	0.187	2.02	0.125	2.466	0.489	1.737	0.651	2.179	0.583
ADCY7	2.666	2.183	0.544	0.385	1.199	0.712	3.301	0.093	0.61	0.477	2.547	5.496	1.756	0.553	8.012	5.036
ADCY8	0.105	0	0.116	0.016	0.102	0	0.008966	0	0	0	0	0.00951	0.03	0.426	0	0
ADCY9	0.39	1.221	0.582	2.033	0.796	0.845	0.371	0.206	0.903	1.408	0.408	0.591	1.639	1.079	2.259	0.825
ADCYAP1	0.328	0.812	0.104	0.058	0.325	0.073	0.135	0	0.424	0	0.084	0.167	0.037	0.296	0	0.035
ADCYAP1R1	0.36	0.382	0.031	0.146	0.267	0.007302	0.095	0.017	0.354	0	0.017	0.32	0.093	0.192	0	0.201
ADD1	4.905	9.05	18.79	7.524	7.39	3.293	5.342	7.985	14.092	5.434	8.54	12.353	8.251	2.826	27.795	10.149
ADD2	0.344	0.034	0.034	0.054	0	0.105	0.186	0.173	0.027	0	0.772	0.381	0.051	0.163	0.018	0.367
ADD3	7.164	7.505	16.661	2.221	11.217	4.015	5.903	1.946	14.105	2.532	9.359	13.399	10.857	1.739	5.84	15.408
ADGB	0.549	0.009489	0.309	0.084	0	0.545	0.09	0.539	0.122	0	0	0.029	0.069	0.751	0.00683	0.011
ADH1A	1.148	0.067	2.498	115.229	0.308	8.738	0.123	24.922	0.215	58.869	0.074	0.104	18.109	58.621	0.096	0.077
ADH1B	3.612	1.385	9.143	356.678	5.779	75.434	1.028	48.954	10.453	148.549	0.948	5.351	81.979	235.719	0.108	2.378
ADH1C	0.438	0.034	5.041	56.742	2.136	27.02	0.3	0.309	2.916	29.832	0.3	0.238	22.493	79.112	0.049	0.117
ADH4	2.229	0.254	4.748	245.535	2.711	46.7	0.464	29.99	0.392	71.863	0.279	0.492	69.611	222.687	0.109	0.493
ADH5	2.646	5.98	5.075	11.567	3.692	2.306	1.711	3.233	8.368	9.18	11.869	6.166	8.776	6.783	15.593	5.846
ADH6	0.68	0.033	1.36	49.938	0.246	9.503	0.073	8.72	0.064	20.326	0.165	0.013	8.287	28.51	0.012	0.096
ADH7	1.302	1.55	0	0	0	0	0.598	0.19	0	0	0	4.588	0.051	0.485	0.03	6.904
ADHFE1	0.738	0.212	0.18	5.795	0.073	3.496	0.737	0.782	0	6.404	1.458	1.152	1.511	3.684	0.343	0.879
ADI1	2.762	5.84	11.177	74.327	8.144	32.341	3.225	8.364	27.462	44.197	12.032	5.073	27.218	41.706	14.984	4.8
ADIG	0	0	0	0.166	0	0	0.191	0	0	0	0	0	0	0.126	0	0
ADIPOQ	0.302	0	0.059	0.014	0.02	0	0.064	0.049	0	0	0	0.042	0.105	0.251	0	0.012
ADIPOR1	4.652	15.97	16.317	12.741	14.827	10.264	6.086	3.458	18.711	8.466	9.424	8.392	13.833	5.483	30.95	9.088
ADIPOR2	2.308	7.064	11.407	12.738	5.87	4.662	2.281	1.38	3.576	7.388	7.329	5.085	15.054	6.969	9.505	5.449
ADK	2.074	4.322	3.296	8.508	1.024	0.728	1.673	10.701	2.516	1.201	28.745	5.66	3.096	4.372	11.763	4.877
ADM	0.371	17.702	6.581	4.847	4.853	12.325	0.254	0.315	10.476	3.755	0.572	0.565	3.026	1.338	5.436	0.872
ADM2	0.252	0.094	0.112	0.209	0.043	0.09	0.353	0.027	0.015	0	0.013	0.146	0.257	0.045	0.296	0.188
ADNP	5.459	10.672	16.173	4.674	31.807	2.72	8.41	4.812	7.73	0.533	17.865	12.495	17.782	2.386	21.099	11.472
ADNP2	1.119	2.776	2.263	1.078	1.709	1.043	1.146	1.438	0.767	0.854	4.635	2.295	2.566	0.846	3.709	2.453
ADO	1.185	1.375	2.067	1.543	1.305	0.129	1.521	0.122	2.481	0.112	2.923	2.597	2.928	0.651	3.571	2.592
ADORA1	0.184	0.034	0.07	0.066	0.412	0.049	0.076	0	0.066	1.434	0.057	0.08	0.146	0.133	0.248	0.039
ADORA2A	0.629	0.352	0.265	0.448	0.072	2.058	0.774	0	1.359	0.815	0.323	1.307	0.285	0.151	0.549	0.672
ADORA2B	0.228	1.172	1.735	0.102	0.687	0	0.156	0	1.182	0	0.088	0.29	0.937	0.154	2.779	0.549
ADORA3	0.379	0.206	0.14	0.15	0.081	0	0.183	0.401	0.237	0.368	0.438	0.034	0.447	0.455	0.329	0.135
ADPGK	3.155	3.492	2.502	3.518	4.647	3.433	5.345	0.178	1.83	6.869	6.606	7.971	6.997	1.174	11.282	7.41
ADPRH	1.064	0.54	0.654	0.334	0.807	1.885	0.93	4.176	1.089	2.556	2.811	1.69	0.691	0.62	3.394	1.688
ADPRHL1	0.198	0.185	0.878	0.029	0.192	0.044	0.051	0.105	0.015	0	0	0.072	0.336	0.402	1.829	0.106
ADPRHL2	0.955	1.425	1.208	2.115	1.149	0.454	0.739	0.067	3.323	0.247	3.529	1.084	1.225	0.287	6.56	1.801
ADPRM	1.489	0.397	0.404	0.547	0.305	0.664	1.017	0	1.915	0	0.692	1.696	0.602	0.83	1.214	2.536
ADRA1A	0.665	0.014	0.23	6.242	0.104	6.109	0.155	0	0.009073	2.939	0	0.34	1.916	4.684	0.01	0.258
ADRA1B	0	0.022	0.03	0.198	0	0.064	0.065	0	0	0	0	0.017	0.108	0.172	0	0
ADRA1D	0.04	0.113	0.026	0.024	0.104	0.018	0.028	0	0.048	0	0	0	0	0	0.041	0
ADRA2A	1.5	2.098	0.58	0.016	0.418	0.211	1.432	0	1.225	0	0.128	2.395	3.331	0.05	0.308	3.321
ADRA2B	0	0.031	0.063	0.313	0	0.118	0.011	0.174	0.04	0	0	0.012	0.131	0.237	0	0.053
ADRA2C	0	0.615	0.07	0.033	0	0	0	0	0	0	0.113	0.02	0.031	0.149	0.018	0
ADRB1	0.226	0.07	0.095	0.223	0.016	0.017	0.295	0.279	0.011	0	0.135	0.164	0.021	0.237	0	0.201
ADRB2	1.212	2.237	0.2	1.97	0	0.235	0.936	0.056	0.19	0.615	0.595	1.337	0.507	0.902	1.61	1.041
ADRB3	0	0	0	0.024	0	0	0	0	0.085	0	0	0	0	0	0.068	0
ADRBK1	4.282	3.979	5.419	2.058	2.015	1.784	5.381	1.224	4.82	3.402	4.508	7.915	4.651	1.295	11.216	6.84
ADRBK2	2.675	0.948	1.008	0.501	1.211	1.262	3.065	1.145	0.56	1.525	1.135	4.496	1.735	0.589	2.37	4.905
ADRM1	1.073	2.465	5.236	5.544	4.248	2.119	0.968	1.703	7.701	1.191	5.426	1.943	4.552	0.966	11.83	1.881
ADSL	3.577	4.105	4.614	4.08	3.695	2.055	3.172	0.073	7.038	3.209	4.978	8.049	3.892	2.602	8.866	6.682
ADSS	3.134	6.08	8.668	3.213	7.667	3.02	2.881	6.76	5.84	2.708	8.52	7.276	9.064	2.161	14.326	7.105
ADSSL1	0.155	0.435	0.131	0.86	0	0.554	0.071	0.055	0.155	2.618	0.612	0.188	0.498	0.467	0.261	0.387
ADTRP	2.491	0.351	0.33	0.481	0.647	0.594	2.691	8.649	0.678	0.676	0.387	2.33	1.606	1.044	9.626	2.721
AEBP1	2.321	23.566	18.01	1.721	13.718	15.74	1.595	4.943	53.723	6.871	5.036	3.106	7.581	0.974	37.577	2.605
AEBP2	2.132	4.106	3.132	1.451	1.872	3.315	2.248	0.373	2.52	1.369	3.178	4.755	3.608	0.818	3.441	4.937
AEN	0.795	1.627	0.94	1.27	0.104	1.957	0.814	1.061	1.327	2.418	1.844	1.489	2.697	0.529	3.386	2.25
AES	6.26	8.241	11.569	11.37	20.169	8.574	8.913	8.857	16.241	10.123	14.729	9.454	8.401	2.096	21.219	9.907
AFAP1	0.831	2.584	5.023	0.312	2.697	0.402	0.454	0.895	3.633	0.808	0.917	1.335	2.689	0.25	10.445	1.375
AFAP1L1	0.383	0.834	0.97	0.303	0.362	2.222	0.358	0.379	0.843	0.795	0.262	0.481	1.026	0.46	3.568	0.464
AFAP1L2	0.514	2.904	0.36	0.161	0.349	0.145	0.638	2.838	1.137	0.421	0.417	1.059	0.735	0.244	3.771	1.416
AFF1	3.393	8.003	6.784	8.05	7.401	5.899	4.041	2.841	7.083	8.491	9.531	7.757	13.286	3.745	10.949	8.268
AFF2	0.76	0.141	0.064	0.06	0.009995	0.006914	1.059	0.041	0.119	0.241	0.095	0.477	0.061	0.182	0.029	0.36
AFF3	3.028	0.532	0.166	0.692	0.062	0.251	3.765	0.888	0.244	0.051	0.175	4.16	0.4	0.803	0.013	4.359
AFF4	3.933	15.263	8.568	5.472	12.552	5.252	4.383	3.652	5.678	1.791	7.659	9.176	11.323	2.56	12.737	9.375
AFG3L2	2.046	5.49	10.698	8.317	4.455	2.484	2.04	0.036	4.751	6.39	6.628	5.408	8.218	4.109	16.901	4.566
AFM	1.455	0.025	1.023	59.215	0.162	12.597	0.184	0.228	0.162	10.478	0	0.02	10.247	30.876	0	0.058
AFMID	0.617	0.805	1.561	9.989	3.076	4.182	0.78	0.784	4.257	13.19	2.66	0.626	3.071	4.167	1.284	0.626
AFP	2.066	0.049	0.067	0.566	0.205	0.142	0.253	0	0.683	0	0	0	0.03	1.097	0	0
AFTPH	4.777	5.794	9.283	4.831	7.225	2.037	5.332	0.193	4.19	4.059	11.709	10.932	9.437	1.975	11.022	9.488
AGA	1.331	1.79	1.522	2.186	2.992	0.023	0.874	0	3.901	0	1.97	3.32	2.78	1.475	2.302	2.623
AGAP1	0.511	1.091	1.486	0.315	3.244	0.3	0.233	0.561	1.026	0.515	3.446	0.515	2.438	0.418	1.907	0.455
AGAP10	0.503	0.789	0.405	1.356	0.472	0.612	0.75	0	0.055	0.711	0.188	0.083	0.517	0.288	0.184	0.317
AGAP11	0.887	1.464	0.194	0.121	0.205	0.091	0.536	2.818	0.256	0	3.607	0.902	0.097	1.075	0.332	0.401
AGAP2	0.849	0.289	0.078	0.126	0.251	0.063	1.48	0.112	0.085	0	0.926	1.403	0.12	0.207	1.217	0.934
AGAP3	0.571	2.409	2.103	2.125	2.076	2.2	0.497	0.495	2.618	3.23	4.384	1.336	3.247	0.818	6.963	1.233
AGAP4	0.354	0.413	0.476	0.079	0.019	0.671	0.378	0	0.013	0	0.318	0.658	0.05	0.12	0.416	0.142
AGAP5	1.198	1.635	0.842	0.763	0.61	1.86	1.849	3.148	0.812	0.518	7.037	2.749	1.481	1.039	1.102	1.705
AGAP6	1.398	2.082	1.376	1.359	0.901	3.602	3.13	0.863	0.489	0	2.352	2.195	2.593	0.699	1.708	2.218
AGAP7	0.712	0.041	0.732	0.633	0.268	0.238	0.349	0	0.934	0	0.114	0.129	0.654	0.641	0.015	0.071
AGAP8	0	0.041	0	0	0	0.02	0	0	0	0	0	0	0.05	0	0	0
AGAP9	0.631	0.904	1.313	1.043	0.368	0.684	0.678	0.048	0.095	0.526	0.532	1.519	2.245	0.731	1.665	1.3
AGBL1	0.586	0.014	0.059	0.091	0.013	0	0.095	0	0.074	0	0.016	0.033	0.07	0.833	0	0.115
AGBL2	0.689	0.07	0.246	0.16	0.116	0.053	0.225	0.285	0.008989	0	0.123	0.402	0.339	0.756	0.422	0.288
AGBL3	1.127	0.156	0.27	0.145	0.393	0.258	0.395	0.742	0.494	0.118	0.344	0.585	0.603	1.207	0.164	0.504
AGBL4	0.793	0.017	0.137	0.15	0.031	0.257	0.123	0	0.097	0	0.037	0.039	0.122	0.844	0.012	0.019
AGBL5	0.959	0.775	2.326	0.512	1.25	0.014	0.557	3.384	1.036	0	2.51	0.706	1.447	0.604	4.892	0.631
AGER	0.653	0.365	0.124	0.155	0.253	0	1.226	0.069	0.157	0	0.503	1.206	0.185	0.059	0.329	0.348
AGFG1	2.378	4.682	10.727	3.405	5.438	1.632	2.605	2.739	4.779	3.975	4.887	5.32	6.196	1.531	7.27	5.57
AGFG2	0.873	0.501	2.039	4.473	1.25	3.592	0.932	0.071	1.155	3.132	1.16	1.038	2.583	1.431	1.292	1.051
AGGF1	2.22	2.928	2.115	1.756	6.896	0.948	2.397	1.517	4.448	2.413	4.154	4.619	3.607	1.656	4.968	4.944
AGK	1.73	1.442	1.91	1.222	1.503	0	1.295	0.546	2.164	0.143	3.419	2.24	2.832	0.829	5.065	2.279
AGL	1.755	2.016	2.603	6.053	1.261	1.858	1.839	0.194	2.504	0.56	1.91	3.332	3.128	3.988	2.251	3.28
AGMAT	0.683	0.127	3.585	17.633	1.79	3.745	0.548	0.903	3.779	7.696	0.946	1.175	3.534	6.486	0.733	0.893
AGMO	0.348	0	0.138	3.018	0.019	1.086	0.149	0	0.013	1.691	0.201	0.047	2.289	3.369	0.044	0.023
AGPAT1	1.091	1.653	2.877	2.777	4.045	1.399	1.335	0.096	4.474	1.414	2.66	1.334	2.881	0.737	12.207	1.456
AGPAT2	0.556	1.265	5.632	6.435	2.6	3.35	0.166	2.871	4.465	5.407	2.498	0.529	7.043	2.192	14.589	0.817
AGPAT3	1.482	2.575	2.535	4.686	3.899	3.124	1.747	0.604	3.343	6.586	8.97	2.272	3.244	2.45	4.74	2.391
AGPAT4	0.369	1.376	0.303	0.138	0.446	0.561	0.247	1.649	0.439	0.159	0.708	0.411	0.294	0.345	1.014	0.321
AGPAT5	1.638	1.682	3.528	1.064	1.248	1.556	1.844	2.807	0.831	0.076	3.432	2.966	3.485	1.352	3.566	3.101
AGPAT6	1.672	2.196	3.616	4.382	2.214	3.69	1.457	2.258	1.674	2.255	3.231	2.046	2.23	0.86	3.871	1.867
AGPAT9	0.81	1.631	0.816	3.976	0.871	2.02	0.226	0.039	0.254	1.002	0.208	0.787	3.251	2.521	2.608	0.688
AGPHD1	1.069	0.153	0.781	0.049	0.035	0.917	0.112	0	0.247	0	3.63	0.447	1.256	0.667	1.132	0.834
AGPS	1.629	2.443	4.843	2.374	2.33	1.384	1.146	1.502	2.95	0.328	4.728	3.058	4.672	1.695	5.629	3.051
AGR2	6.461	0.357	24.6	0.065	13.838	0.098	0.15	0.232	32.956	0	8.768	1.071	123.546	1.381	0.184	1.461
