Feature.ID	B13_FFPE_T1gIII_RPKM_fwd_RNA.Seq	B13_FF_T1gIII_RPKM_fwd_RNA.Seq	B11_FFPE_TagII_RPKM_fwd_RNA.Seq	B11_FF_TagII_RPKM_fwd_RNA.Seq	B11_FFPE_T2gII_RPKM_fwd_RNA.Seq	B11_FF_T2gII_RPKM_fwd_RNA.Seq	B12_FFPE_TagII_RPKM_fwd_RNA.Seq	B12_FF_TagII_RPKM_fwd_RNA.Seq	B12_FFPE_T1gII_RPKM_fwd_RNA.Seq	B12_FF_T1gII_RPKM_fwd_RNA.Seq	B14_FFPE_TagII_RPKM_fwd_RNA.Seq	B14_FF_TagII_RPKM_fwd_RNA.Seq	B14_FFPE_T1gIII_RPKM_fwd_RNA.Seq	B14_FF_T1gIII_RPKM_fwd_RNA.Seq	B15_FF_T2grIII_RPKM_fwd_RNA.Seq	B15_FFPE_T2grIII_RPKM_fwd_RNA.Seq
ACTL8	0	0.157	0	0	0	0	0.045	0.03	0	0	0.097	0	0	0.086	0.248	0.074
ACTL9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009014	0
ACTN1	1.138	11.712	0.738	2.486	3.511	31.628	2.86	11.628	1.005	12.603	2.816	21.978	2.415	20.569	33.722	8.835
ACTN2	0	0.032	0	0	0	0.022	0	0.016	0	0.006185	0	0.03	0	0.042	0.345	0.03
ACTN4	2.836	56.439	1.351	9.77	3.629	41.121	13.902	43.62	4.335	55.982	5.675	29.065	4.967	35.322	64.398	11.213
ACTR10	0.088	5.642	0.104	1.072	0.708	12.849	2.65	11.839	0.487	12.397	0.519	6.614	1.295	11.576	9.916	1.012
ACTR1A	0.826	9.11	0.62	1.316	1.264	7.304	3.481	10.614	2.071	15.879	2.205	10.12	2.375	10.655	13.827	2.676
ACTR1B	0.764	6.038	0.225	1.829	0.842	6.231	2.829	7.966	0.738	9.488	1.362	4.552	1.769	6.015	9.327	1.885
ACTR2	3.728	41.585	3.686	8.533	6.152	56.582	30.83	46.836	6.595	44.108	12.144	53.908	9.773	56.421	73.689	16.19
ACTR3	2.863	42.635	1.126	7.401	5.418	75.051	22.283	59.438	3.862	79.08	7.807	37.947	5.769	53.343	43.111	9.009
ACTR3B	0.195	2.269	0	1.05	0.156	1.578	1.365	2.59	0.429	4.105	0.98	2.957	0.826	4.128	2.972	0.186
ACTR3C	0	2.105	0.717	4.343	0.609	5.506	3.137	4.529	1.509	2.584	1.147	7.283	1.758	5.421	5.443	0.773
ACTR5	0	2.853	0.205	0.61	0.279	5.173	0.712	2.474	0.192	2.756	0.657	2.763	0.134	2.24	3.387	0.554
ACTR6	0	5.324	0.413	1.133	0.351	6.279	2.148	5.792	0.29	5.965	0.808	4.655	1.35	7.743	7.239	0.668
ACTR8	0.297	4.219	0.14	1.667	0.524	6.973	2.316	8.151	0.656	7.131	1.446	5.974	1.055	8.541	5.168	0.832
ACTRT1	0	0.101	0	0	0	0	0.058	0	0	0.039	0	0.007273	0	0.042	0.018	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007049	0.027	0
ACTRT3	0	0.073	0	0.261	0	0.281	0.796	0.79	0	0.098	0.09	0.664	0	0.855	0.102	0
ACVR1	0.554	4.498	0.245	1.813	0.833	7.615	2.728	5.798	0.459	4.923	1.105	4.998	1.016	4.548	4.317	1.059
ACVR1B	0.179	4.626	0.423	1.827	0.324	4.165	3.165	6.146	0.594	5.832	1.318	3.205	0.866	3.501	4.072	1.114
ACVR1C	0.119	2.458	0.028	0.282	0	0.064	0.185	0.15	0.105	0.324	0.02	0.255	0.055	0.886	1.188	0.287
ACVR2A	0.288	10.469	0.097	2.43	0.593	8.559	3.718	7.315	0.953	6.35	1.311	6.066	1.238	10.288	8.651	1.309
ACVR2B	0.265	2.192	0.201	0.506	0.106	1.356	2.321	2.842	0.377	2.374	1.05	2.706	0.907	7.176	1.263	0.591
ACVRL1	0.147	1.44	0.116	0.343	0.079	2.807	0.382	1.439	0	1.202	0.411	2.496	0.265	2.424	1.566	0.249
ACY1	0.643	2.954	0.303	0.867	0.206	3.402	1.002	7.198	0	5.241	0.971	2.631	0.595	7.18	7.593	0.491
ACY3	0.166	0.168	0	0.045	0	0.294	0	0.086	0	0	0	0.048	0	0.031	0.108	0
ACYP1	0.313	4.755	0.369	2.698	0.752	4.428	3.533	4.403	0	3.328	0.787	4.834	1.688	4.344	5.053	3.382
ACYP2	0.176	1.132	0.208	1.236	0.282	1.856	0.206	2.497	0.194	1.945	0	1.748	0	1.54	1.309	0.112
ADA	0	0.761	0	0.342	0.339	1.509	0.165	0.341	0.155	0.64	0.118	1.335	0	0.353	4.368	0.538
ADAD1	0	0	0	0	0	0	0	0	0	0	0	0.009302	0	0.04	0.034	0
ADAD2	0	0.063	0	0.051	0	0.026	0	0.081	0	0.036	0	0.123	0.072	0.144	0.078	0
ADAL	0.054	1.139	0.128	0.587	0	2.863	0.551	1.363	0	0.911	0.456	1.592	0.336	1.486	0.83	0.311
ADAM10	6.261	110.944	2.267	10.918	3.918	84.242	50.105	117.046	12.79	129.721	19.17	81.602	15.258	160.692	84.364	10.766
ADAM11	0	0.017	0	0.013	0	0.05	0.057	0.182	0	0.318	0.123	0.052	0.038	0.114	0.125	0.062
ADAM12	0.062	0.376	0.146	0.1	0.124	0.872	0.193	0.339	0.17	0.381	0.233	2.589	0.191	1.17	0.866	1.258
ADAM15	0.394	11.084	0.233	1.773	0.632	8.666	2.202	10.217	0.508	10.581	0.607	4.634	0.913	11.514	9.936	1.297
ADAM17	0.543	19.94	1.068	4.104	1.355	13.162	6.447	17.194	1.866	16.676	3.242	15.319	3.122	20.615	27.284	4.804
ADAM18	0	0	0	0	0	0	0	0	0	0	0	0.003209	0	0.08	0.055	0
ADAM19	0.1	1.462	0.196	0.413	0.32	4.199	0.246	0.397	0.11	0.268	0.447	3.002	0.128	0.626	1.6	1.059
ADAM2	0	0.248	0	0.022	0	0.015	0	0.028	0	0	0	0	0	0.064	0.092	0
ADAM20	0.232	1.018	0	0.625	0.124	0.468	1.234	0.527	0.256	0.371	0.389	0.868	0.119	0.381	0.698	0.295
ADAM21	0	0.027	0	0.022	0	0.023	0	0.035	0	0	0	0.012	0	0.105	0.024	0.052
ADAM22	0.023	0.107	0.027	0.116	0	0.421	0.018	0.206	0.025	0.133	0.076	0.529	0.035	0.365	1.251	0.361
ADAM23	0	0.525	0	0.076	0.057	0.322	0.083	0.317	0.156	0.128	0.118	0.525	0.109	0.485	0.596	0.27
ADAM28	0.704	7.592	0.415	5.837	0.376	3.858	1.463	4.303	0.259	0.122	2.263	6.43	0.679	2.393	0.547	0.112
ADAM29	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072	0.062	0
ADAM30	0	0	0	0	0	0	0	0	0	0	0	0.018	0	0.023	0.026	0
ADAM32	0	0.695	0	0.128	0.063	0.265	0.062	0.15	0	0.072	0.133	0.554	0.061	0.831	0.132	0.101
ADAM33	0	0.166	0	0.017	0.197	0.817	0	0.36	0	0.056	0.103	0.173	0.142	0.182	0.372	0.156
ADAM7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065	0.007547	0
ADAM8	0.261	5.61	0.154	0.335	0.209	1.254	1.935	4.551	0.361	2.24	0.713	3.575	1.008	3.407	7.312	1.996
ADAM9	1.736	16.292	1.241	5.308	3.247	44.541	7.566	20.272	0.929	15.236	3.576	19.086	3.736	29.216	5.795	2.21
ADAMDEC1	0	1.047	0.209	0.382	0.142	5.169	0.034	0.719	0.098	0.011	0	0.538	0	0.049	0.557	0.169
ADAMTS1	0.371	2.555	0.219	0.638	0.483	5.087	7.735	14.568	1.791	15.68	0.661	5.805	1.682	8.914	3.999	2.538
ADAMTS10	0	0.482	0	0.124	0.122	0.939	0.02	0.409	0	0.126	0.214	0.54	0.079	0.353	0.333	0.194
ADAMTS12	0	0.294	0.051	0.047	0	1.529	0.221	0.222	0.048	0.277	0.11	1.647	0.067	0.512	1.045	1.219
ADAMTS13	0	0.103	0	0.083	0	0.114	0.136	0.155	0.096	0.142	0.073	0.206	0	0.177	0.164	0
ADAMTS14	0	0.277	0	0.022	0.131	1.003	0.064	0.163	0	0.074	0.172	0.348	0.032	0.175	0.316	0.313
ADAMTS15	0.228	0.334	0.134	0.143	0.03	0.22	0.355	0.565	0.084	0.084	0.064	0.057	0	0.06	0.054	0.121
ADAMTS16	0	0.015	0	0	0	0.093	0	0.067	0	0	0	0.093	0	0.056	0.034	0.055
ADAMTS17	0.034	0.426	0	0.009189	0	0.086	0.133	0.2	0.038	0.049	0.029	0.123	0.026	0.147	0.241	0.087
ADAMTS18	0	0.173	0	0	0	0.041	0	0.032	0.04	0	0.031	0.101	0.028	0.142	0.119	0
ADAMTS19	0	0.043	0	0.011	0	0.0079	0.099	0.282	0.047	0.017	0	0.278	0.065	0.299	0.683	0.081
ADAMTS2	0	0.433	0	0.049	0.073	1.459	0.036	0.382	0.101	0.345	0.333	1.924	0.094	0.597	1.309	1.359
ADAMTS20	0.113	1.005	0.222	0.913	0	0.512	0.117	0.182	0.166	0.425	0	0.005488	0.145	0.701	0.286	0.072
ADAMTS3	0	0.063	0	0.03	0	0.159	0.043	0.067	0	0.019	0.031	0.229	0.029	0.198	0.317	0.047
ADAMTS4	0.1	0.269	0	0.094	0.16	1.36	0.058	0.392	0.22	0.588	0.042	1.116	0.231	0.724	0.793	0.887
ADAMTS5	0.022	0.189	0.026	0.06	0.036	0.711	0.278	0.727	0.172	0.533	0.094	0.61	0.103	0.591	0.324	0.156
ADAMTS6	0	0.16	0	0.224	0.048	1.399	0.254	0.295	0.066	0.058	0.249	0.449	0.092	0.45	0.471	0.132
ADAMTS7	0.039	0.305	0.046	0.371	0.094	0.666	0.306	0.594	0.13	1.296	0.363	1.574	0.424	1.581	2.989	0.725
ADAMTS8	0.059	0.259	0.069	0.032	0.047	0.17	0.069	0.514	0	0.245	0.148	0.361	0.091	0.572	0.161	0.037
ADAMTS9	0.088	1.685	0.278	0.78	0.213	3.521	0.517	1.756	0.195	1.088	0.841	5.86	1.434	5.047	2.351	1.014
ADAMTSL1	0	0.109	0	0.08	0.022	0.294	0.021	0.135	0	0.011	0.023	0.087	0.083	0.153	0.093	0.069
ADAMTSL2	0.052	0.476	0.123	0.253	0	0.627	0.122	0.388	0.115	0.23	0.088	0.837	0.242	1.184	0.419	0.033
ADAMTSL3	0.029	0.378	0	0.159	0.024	0.14	0.057	0.32	0.032	0.076	0.197	0.071	0.113	0.336	0.173	0.262
ADAMTSL4	0.1	0.237	0	0.122	0.04	0.43	0.137	0.325	0.055	0.091	0	0.361	0.039	0.126	0.665	0.223
ADAMTSL5	0.151	0.179	0.089	0.204	0	0.478	0.294	0.894	0.167	0.235	0.127	0.272	0.117	0.161	0.426	0.048
ADAP1	0	0.534	0	0.1	0.074	0.97	0.507	1.927	0.308	3.461	0.468	1.125	0.43	2.297	1.998	0.355
ADAP2	0.157	1.989	0.093	0.868	0.314	3.232	0.397	1.471	0.346	0.937	0.856	2.575	0.484	2.202	2.359	0.699
ADAR	2.888	40.599	1.973	6.808	2.51	35.608	12.987	43.347	3.087	26.24	6.735	35.016	5.327	41.602	44.662	6.077
ADARB1	0.092	0.934	0.072	0.373	0.246	1.087	0.634	0.7	0.135	0.634	0.335	1.555	0.45	1.312	0.669	0.449
ADARB2	0	0.026	0	0	0	0.021	0	0.002212	0.028	0	0	0.007469	0	0.02	0.032	0.033
ADAT1	0.122	3.866	0.072	2.544	0.341	4.1	2.039	4.39	0.269	2.607	0.664	4.11	1.033	4.937	7.586	1.278
ADAT2	0.172	1.317	0.122	0.614	0.083	1.07	0.726	1.201	0.152	0.717	0.55	1.325	0.612	1.127	0.615	0.285
ADAT3	0	0	0	0	0	0.012	0	0.046	0	0.034	0	0	0	0.006165	0	0
ADC	0	0.2	0	0.107	0	0.82	0.231	0.308	0	0.218	0	0.341	0	0.184	0.288	0.377
ADCK1	0	0.979	0	0.755	0.155	1.125	0.489	1.377	0.107	1.404	0.162	1.15	0.298	0.942	1.211	0.123
ADCK2	0.182	2.313	0.215	0.763	0.146	4.481	2.062	6.418	0.604	9.3	0.919	2.955	1.056	6.093	6.393	0.523
ADCK3	0.148	2.668	0.174	0.517	0.236	1.684	1.466	4.596	0.488	5.526	0.743	2.877	1.252	7.456	3.481	0.704
ADCK4	0	1.197	0.102	1.002	0.069	1.707	0.539	1.709	0.381	2.389	0.362	1.336	0.4	1.232	3.404	0.605
ADCK5	0.11	0.928	0.129	0.563	0.264	1.309	0.428	1.508	0.242	1.767	0.553	0.918	0.424	1.036	0.613	0.559
ADCY1	0.017	0.507	0	0.009309	0.041	0.121	0.128	0.264	0.019	0.415	0.232	0.663	0.24	1.74	0.916	0.066
ADCY10	0	0.081	0	0.021	0	0.003708	0.047	0.021	0	0	0	0.068	0	0.083	0.232	0.051
ADCY2	0	0.033	0	0	0	0.025	0.026	0.028	0	0.008547	0	0.056	0	0.063	0.096	0.084
ADCY3	0.196	5.438	0.116	0.662	0.354	3.808	1.204	3.235	0.271	6.548	0.617	3.306	0.984	5.141	3.516	0.656
ADCY4	0.116	0.882	0.137	0.798	0.139	1.999	0.474	1.057	0.064	0.67	0.341	1.274	0.582	1.269	0.465	0.184
ADCY5	0.034	0.268	0	0.009298	0.055	0.43	0.067	0.688	0	0.058	0.116	0.317	0.053	0.138	0.133	0.11
ADCY6	0.354	3.233	0.38	2.006	0.361	2.41	2.296	5.151	0.569	5.093	1.162	4.129	1.193	4.813	6.138	0.82
ADCY7	0.176	1.794	0.29	0.37	0.338	3.216	0.575	1.039	0.116	1.538	0.265	2.114	0.136	0.578	1.694	0.447
ADCY8	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037	0.047	0
ADCY9	0.084	1.717	0.132	0.361	0.134	1.634	0.392	0.9	0.216	1.551	0.281	1.436	0.323	1.046	2.563	0.355
ADCYAP1	0	0.111	0	0	0	0.098	0.051	0.057	0	0	0	0.112	0	0.346	0.254	0.293
ADCYAP1R1	0	0.011	0	0	0	0.003057	0	0.00567	0	0	0.028	0.069	0	0.043	0.084	0
ADD1	1.057	28.344	0.935	6.114	2.202	32.071	8.998	30.197	1.808	29.028	4.389	22.734	4.934	34.259	22.845	4.271
ADD2	0	0.196	0	0	0	0.105	0.014	0.035	0	0	0	0.037	0	0.052	2.929	0.601
ADD3	0.652	9.152	0.55	1.948	1.083	16.869	6.502	24.109	1.132	17.99	2.346	11.211	1.582	16.526	14.148	2.877
ADGB	0	0	0	0	0	0.011	0	0.003524	0	0	0	0.012	0	0.08	0.061	0
ADH1A	0	0.097	0	0.078	0	0.067	0	0.075	0	0.037	0	0.063	0	0.12	0.154	0.183
ADH1B	0	0.163	0	0.195	0.064	2.024	0	0.445	0	0.021	0	0.121	0	0.213	0.43	0.358
ADH1C	0	0	0	0.039	3.286	27.279	0.171	0.658	0	0.038	0	0.021	0.113	0.49	35.784	1.677
ADH4	0	0.147	0	0.059	0	0.355	0.17	0.188	0	0.057	0	0.148	0	0.177	0.11	0
ADH5	1.794	27.05	0.77	3.124	2.55	45.249	6.707	34.354	1.26	32.761	2.669	15.241	1.888	34.955	32.968	3.582
ADH6	0	0.024	0	0.135	0.058	0.221	0.028	0.254	0	0.028	0	0.049	0	0.207	1.1	0.046
ADH7	0.18	7.817	0	0.607	0.721	14.893	0.035	0.007776	0	1.495	0	0	0	0.121	0.123	0
ADHFE1	0.114	0.346	0	1.658	0.182	1.941	0.665	1.475	0	0.103	0.286	1.046	0.527	1.275	0.162	0.072
ADI1	1.029	18.922	1.821	5.137	2.476	33.077	7.873	28.049	1.136	33.018	4.103	16.377	4.667	37.859	28.291	4.996
ADIG	0	0	0	0.076	0	0.026	0	0	0	0.109	0	0.041	0	0.039	0	0
ADIPOQ	0	0	0	0	0	0.004342	0	0.008053	0	0	0	0	0	0.039	0.008308	0.148
ADIPOR1	2.479	33.687	0.819	5.269	1.272	22.947	18.124	46.458	4.815	36.362	4.576	22.38	6.734	35.022	25.39	3.597
ADIPOR2	0.816	6.656	0.577	1.086	0.872	7.883	4.706	9.581	0.901	11.795	1.597	6.161	1.133	7.986	17.371	2.389
ADK	0.354	6.068	0.209	1.694	0.567	8.645	1.275	7.085	0.293	9.243	1.187	6.455	0.546	8.002	8.525	0.563
ADM	1.637	10.113	1.053	1.124	1.312	8.365	4.118	9.416	1.643	6.185	0.874	4.69	1.723	5.341	12.757	0.758
ADM2	0	0.051	0	0.041	0	0.136	0	0.057	0	0.059	0	0.093	0	0.023	0.954	0.225
ADNP	1.83	29.344	1.889	7.974	2.348	25.846	17.281	29.251	4.95	31.386	7.603	34.378	6.215	40.087	44.869	7.281
ADNP2	0.28	3.004	0.283	1.328	0.385	4.701	2.496	4.951	0.707	6.097	0.705	4.569	1.266	8.502	5.101	1.095
ADO	0.232	3.054	0.205	0.359	0.279	4.205	2.054	6.722	0.511	9.648	1.166	3.892	0.536	5.521	4.568	0.627
ADORA1	0	0.05	0	0.04	0.059	0.145	0	0.026	0	0.038	0.124	0.086	0	0.062	0.29	0.094
ADORA2A	0	0.398	0	0.068	0.135	0.486	0.066	0.167	0	0.065	0.071	0.732	0.195	0.324	0.265	0.107
ADORA2B	0.114	1.818	0	0.586	0.183	5.076	0.535	1.177	0.253	2.867	0.096	0.673	0.088	1.095	0.952	0
ADORA3	0.127	0.171	0	0.017	0.101	0.271	0.025	0.202	0	0.23	0.053	0.129	0	0.118	0.199	0.121
ADPGK	0.506	5.299	0.298	4.183	0.811	10.478	2.562	8.318	0.558	7.923	1.697	8.677	1.626	8.727	6.056	1.556
ADPRH	0	0.827	0.074	0.085	0.201	1.251	0.464	1.691	0.208	0.993	0.105	1.543	0.097	1.513	1.185	0.359
ADPRHL1	0	0.201	0.117	0.107	0.08	0.37	0.232	0.437	0	0.245	0	0.193	0	0.337	0.313	0.19
ADPRHL2	0.128	4.872	0.301	1.273	0.409	5.658	2.436	7.562	0.563	6.658	0.535	4.05	0.886	5.94	7.33	1.055
ADPRM	0	0.528	0	0.383	0.114	0.596	0.332	1.031	0	0.535	0.238	1.023	0	1.182	0.566	0.09
ADRA1A	0	0	0	0	0	0.011	0.024	0.005236	0	0	0	0.008839	0	0.056	0.032	0
ADRA1B	0	0	0	0	0	0.008918	0	0	0	0.012	0.08	0.023	0	0.107	0.028	0
ADRA1D	0	0	0	0	0	0.00754	0.032	0	0	0.011	0	0.02	0	0.00376	0.043	0
ADRA2A	0	0.357	0.066	0	0	0.705	0.173	0.572	0	0.202	0	0.368	0.129	0.38	0.546	0.248
ADRA2B	0	0.045	0	0	0	0.037	0	0.097	0	0.008575	0.055	0.077	0	0.071	0.043	0
ADRA2C	0	0.484	0	0.03	0	0.082	0	0.057	0	0.043	0	0.112	0	0.174	3.129	0.14
ADRB1	0.301	1.783	0	0.02	0	0.26	0.352	0.391	0	0.225	0.19	0.531	0.174	0.721	0.484	0.24
ADRB2	0	0.714	0	1.88	0.169	1.516	1.07	2.665	0.699	4.32	0.177	0.93	0.408	3.112	1.142	0.336
ADRB3	0	0	0	0	0	0.015	0	0	0	0	0	0.012	0	0.053	0.004843	0
ADRBK1	1.315	25.36	0.222	3.142	1.456	10.576	4.442	9.336	1.244	10.262	2.154	10.494	4.204	19.472	9.915	1.993
ADRBK2	0.143	1.481	0.056	0.591	0.267	4.124	1.132	2.663	0.342	1.571	0.839	3.147	0.937	3.235	2.882	0.546
ADRM1	0.614	11.208	0.543	2.112	0.984	9.228	3.171	14.739	1.864	22.982	1.932	11.168	3.435	12.678	17.745	2.931
ADSL	0.689	7.407	0.488	2.565	1.436	17.211	5.371	15.495	0.608	20.651	2.313	10.24	2.552	16.871	20.608	3.859
ADSS	1.705	22.458	0.274	3.701	1.74	12.948	12.055	24.998	2.738	21.663	3.773	17.557	4.607	41.541	17.873	3.405
ADSSL1	0	0.351	0	0.42	0.083	0.706	1.577	2.431	0.344	3.248	0.087	2.095	0.801	1.717	1.659	0.396
ADTRP	0	0.785	0.137	0.532	0.093	3.278	0.181	0.371	0	0	0.097	2.128	0.09	0.162	4.816	0.222
AEBP1	0.159	2.179	0.374	0.356	1.949	7.846	0.556	2.156	0.292	0.583	1.109	6.808	0.653	2.071	4.068	7.871
AEBP2	0.297	4.796	0.438	1.873	0.506	4.929	3.792	5.226	1.353	3.863	1.963	4.915	1.548	6.021	6.962	1.938
AEN	0.208	1.497	0.082	0.709	0.333	2.438	0.405	2.399	0.153	2.328	0.755	2.484	0.374	2.738	2.732	0.573
AES	2.775	44.838	1.964	12.156	3.559	28.842	27.685	60.486	9.678	76.694	10.338	33.274	13.448	48.918	37.13	11.303
AFAP1	0.222	1.539	0.164	0.262	0.2	2.302	1.136	2.411	0.276	2.739	0.652	3.056	0.664	3.548	4.202	1.06
AFAP1L1	0.256	1.056	0.121	0.704	0.246	2.152	0.758	1.885	0.283	1.057	0.43	2.248	0.751	2.988	1.384	0.424
AFAP1L2	0.054	1.008	0.128	0.512	0.13	1.931	0.465	2.325	0.12	1.31	0.728	2.952	0.419	3.061	1.502	0.138
AFF1	0.977	9.709	0.445	4.23	1.211	10.229	10.752	15.023	2.623	9.522	3.951	11.826	3.977	12.783	9.13	3.054
AFF2	0.031	0.903	0.018	0.008379	0.025	0.054	0.018	0.031	0.034	0.022	0.208	0.432	0.072	0.291	0.202	0.119
AFF3	0.026	0.346	0	0.078	0.105	0.538	0.102	0.361	0	0.075	0.088	0.451	0.081	0.345	0.173	0.1
AFF4	1.328	15.403	1.062	5.32	1.029	11.767	11.283	16.904	2.385	12.111	5.062	19.397	4.917	20.203	26.412	5.459
AFG3L2	0.874	13.268	0.396	3.426	1.131	18.835	4.898	17.983	1.409	18.117	2.425	14.384	1.556	13.563	11.904	1.711
AFM	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045	0.109	0
AFMID	0.494	2.799	0.292	1.534	0.198	3.686	3.275	8.14	0.409	7.302	0.726	3.246	0.954	5.158	4.878	0.865
AFP	0	0	0	0.029	0	0.089	0	0	0	0	0	0	0	0.044	0.151	0
AFTPH	0.889	14.443	0.617	3.625	1.509	14.179	6.705	15.752	1.847	13.935	2.633	11.953	1.776	13.641	25.127	4.027
AGA	0.513	8.84	0.242	2.102	0.411	7.302	2.558	11.629	0.792	16.233	1.721	7.401	1.108	14.738	6.778	0.587
AGAP1	0.209	3.976	0.134	0.747	0.38	2.631	1.427	2.725	0.607	3.361	0.78	2.697	1.084	3.647	2.775	0.785
AGAP10	0	0.836	0.108	0.371	0.22	0.162	0.75	0.15	0.404	0.119	1.23	0.299	0.707	0.332	0.114	0.641
AGAP11	0.547	4.529	0.403	9.773	0.219	2.376	8.525	15.101	1.66	11.362	2.294	10.498	3.956	11.05	6.257	1.523
AGAP2	0	1.269	0.042	0.239	0.142	0.802	0.304	0.272	0	0.276	0.089	0.999	0.355	1.159	1.767	0.271
AGAP3	0.78	11.06	0.491	2.764	0.542	6.278	5.453	11.653	1.435	10.639	2.313	9.519	3.452	14.078	8.342	2.549
AGAP4	0	0.63	0	0.885	0.142	1.009	1.487	0.989	0	0.933	0.447	0.897	0.548	0.631	1.018	0.226
AGAP5	0.356	3.696	0	2.134	0.143	2.063	1.836	2.812	0.196	1.928	1.119	3.45	0.892	2.19	1.997	0.622
AGAP6	0.389	5.786	0.184	4.407	0.873	7.788	2.547	3.47	1.116	3.627	1.828	3.757	1.381	3.396	2.65	1.04
AGAP7	0.178	0.241	0	0.024	0.071	0.191	0	0.062	0	0.15	0.299	0.269	0.138	0.12	0.217	0.057
AGAP8	0	0	0	0.048	0	0.008306	0	0.015	0.098	0.012	0	0.008668	0	0	0.011	0
AGAP9	0.361	3.635	0.213	4.314	0.507	3.478	2.465	3.452	0.698	2.452	0.91	3.247	0.418	2.175	2.239	0.403
AGBL1	0	0	0	0	0	0	0	0	0	0.016	0	0	0	0.08	0.044	0
AGBL2	0	0.061	0.071	0.712	0	0.694	0.374	0.394	0.066	0.288	0.201	0.184	0.093	0.218	0.293	0
AGBL3	0	0.702	0	0.099	0	0.296	0.143	0.28	0.067	0.206	0.205	0.448	0	0.377	0.29	0.155
AGBL4	0	0.317	0	0.019	0	0.013	0	0.019	0	0.009373	0	0.025	0	0.064	0.292	0.092
AGBL5	0	3.507	0.151	0.777	0.462	3.402	1.597	3.963	0.212	5.771	0.698	1.928	0.642	2.893	4.773	0.611
AGER	0.131	1.326	0	1.2	0.105	1.487	0.816	0.667	0.289	0.509	0.439	1.641	0.707	1.21	0.762	0.25
AGFG1	0.469	9.428	0.32	3.322	0.514	12.806	4.069	8.249	0.518	6.487	1.512	6.608	0.8	6.336	5.261	1.037
AGFG2	0.09	1.076	0.106	0.399	0.108	1.467	0.716	2.011	0.148	1.583	0.376	1.443	0.104	1.098	1.705	0.342
AGGF1	0.191	7.26	0.395	2.09	0.345	6.994	5.313	9.839	1.373	9.23	2.127	8.323	1.698	11.198	6.92	1.827
AGK	0.221	4.412	0.087	1.591	0.296	6.755	1.609	5.703	0.407	6.855	0.495	5.726	1.024	9.51	6.872	1.267
AGL	0.367	5.811	0.217	2.11	0.252	6.725	2.465	7.252	0.492	4.342	1.255	6.912	1.499	11.158	5.747	0.935
AGMAT	0.068	0.277	0.081	0.129	0	0.516	0.266	0.981	0	0.959	0.344	0.788	0.422	3.334	1.179	0.392
AGMO	0.087	0.324	0	0.611	0.07	0.146	1.019	3.961	0.192	0.86	0.292	0.648	0.202	0.0081	0.601	0.055
AGPAT1	0.091	5.08	0.43	0.688	0.803	4.66	3.336	5.888	0.402	6.091	1.605	3.915	1.546	5.033	4.959	1.217
AGPAT2	0.139	4.757	0.164	0.526	0.447	2.389	0.814	5.683	0.615	7.128	0.701	4.37	1.183	7.408	10.558	1.685
AGPAT3	0.653	10.303	0.577	1.611	1.099	9.675	6.321	11.107	1.117	13.412	2.41	7.916	1.813	7.772	13.701	2.098
AGPAT4	0.055	1.24	0.032	0.185	0.044	0.372	0.331	0.549	0.121	1.102	0.161	0.985	0.063	0.305	0.823	0.122
AGPAT5	0.547	3.908	0.184	0.316	0.031	3.768	1.172	3.099	0.259	2.455	0.557	4.34	0.784	5.419	5.943	0.721
AGPAT6	0.308	3.778	0.161	2.231	0.521	6.457	2.158	4.833	0.302	4.971	0.946	4.631	0.844	6.081	12.374	2.219
AGPAT9	0	1.297	0	0.02	0	0.997	0.029	0.217	0.081	0.096	0	0.37	0.057	0.25	0.601	0.188
AGPHD1	0	1.114	0	0.622	0.396	1.766	0.706	2.278	0	1.476	0.138	0.953	0.127	1.034	1.684	0.315
AGPS	0.141	4.575	0.133	0.873	0.564	9.726	2.379	6.777	0.652	5.338	0.732	4.563	0.565	7.147	8.609	1.307
AGR2	4.168	50.21	6.47	95.403	12.31	351.138	51.302	289.457	9.686	440.592	16.384	139.443	22.18	505.948	4.681	1.815
AGR3	0	0	0	0	0	0.134	0	0.497	0	0	0	0	0	0.08	0.103	0
AGRN	0.648	14.081	0.729	3.478	1.321	13.941	5.22	17.592	1.365	12.332	2.396	11.641	2.863	15.062	14.484	2.998
AGRP	0	0	0	0.076	0	0.026	0	0	0	0	0	0	0	0	0.017	0
AGT	0.083	0.113	0	0.045	0.134	0.49	0.098	0.411	0	0.163	0	0.175	0.064	0.485	0.372	0.266
AGTPBP1	0.049	3.432	0.115	0.5	0.274	2.984	0.894	2.43	0.269	2.782	0.41	3.112	0.377	2.169	3.513	0.652
AGTR1	0	0.085	0	0	0.067	0.109	0	0.116	0	0.065	0	0.024	0	0.125	0.08	0.053
AGTR2	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0.035	0.018	0
AGTRAP	0.674	2.791	0.397	1.773	0.945	4.319	0.854	4.806	0.372	4.616	0.141	2.008	0.26	2.052	4.126	1.394
