Feature.ID	C1_T_FF_RPKM_fwd_RNA.Seq	C1_T_FFPE_RPKM_fwd_RNA.Seq	C2_T_FF_RPKM_fwd_RNA.Seq	C2_T_FFPE_RPKM_fwd_RNA.Seq	C3_T_FF_RPKM_fwd_RNA.Seq	C3_T_FFPE_RPKM_fwd_RNA.Seq	C4_T_FF_RPKM_fwd_RNA.Seq	C4_T_FFPE_RPKM_fwd_RNA.Seq	C4_N_FF_RPKM_fwd_RNA.Seq	C5_T_FF_RPKM_fwd_RNA.Seq	C5_T_FFPE_RPKM_fwd_RNA.Seq	C6_T_FFPE_RPKM_fwd_RNA.Seq	C6_T_FF_RPKM_fwd_RNA.Seq	C9_N_FF_RPKM_fwd_RNA.Seq	C9_T_FF_RPKM_fwd_RNA.Seq	C9_T_FFPE_RPKM_fwd_RNA.Seq	C13_N_FF_RPKM_fwd_RNA.Seq	C13_T_FF_RPKM_fwd_RNA.Seq	C13_T_FFPE_RPKM_fwd_RNA.Seq	C16_T_FF_RPKM_fwd_RNA.Seq	C16_T_FFPE_RPKM_fwd_RNA.Seq	C17_N_FF_RPKM_fwd_RNA.Seq	C17_T_FFPE_RPKM_fwd_RNA.Seq	C17_T_FF_RPKM_fwd_RNA.Seq	C18_T_FFPE_RPKM_fwd_RNA.Seq	C18_N_FF_RPKM_fwd_RNA.Seq	C18_T_FF_RPKM_fwd_RNA.Seq	C19_T_FF_RPKM_fwd_RNA.Seq	C19_T_FFPE_RPKM_fwd_RNA.Seq	C19_N_FF_RPKM_fwd_RNA.Seq
ABP1	4.412	6.325	5.528	3.284	3.36	13.285	3.691	2.555	25.656	23.479	8.442	11.765	30.453	45.009	28.446	11.943	55.111	20.225	4.479	13.52	1.971	35.513	1.984	8.986	4.764	26.784	13.919	7.365	1.531	32.083
ABR	12.364	5.85	19.593	9.352	17.69	11.616	19.05	12.13	16.853	24.469	19.253	20.509	23.522	18.848	19.368	17.065	24.739	23.093	10.441	26.706	9.484	18.527	5.983	17.115	8.028	14.047	11.619	12.932	3.998	24.103
ABRA	0	0	0.038	0.05	0	0.042	0.04	0	0.017	0.02	0	0	0	0	0	0	0	0.022	0.039	0	0.062	0	0	0	0	0	0	0	0	0
ABRACL	16.187	7.44	18.639	7.375	14.582	4.362	22.173	7.535	42.045	45.19	7.196	5.268	23.067	62.515	38.758	6.375	58.196	54.561	9.524	56.505	7.282	45.629	15.921	37.154	5.763	29.457	16.549	18.312	5.224	47.697
ABT1	2.351	1.229	2.641	1.437	2.162	1.018	3.418	1.55	4.058	4.468	1.018	1.188	3.728	4.132	4.224	1.538	6.097	7.663	2.378	5.04	0.604	3.819	1.467	4.231	0.86	2.724	2.574	1.064	0.616	2.917
ABTB1	0.666	0.332	0.791	0.725	1.224	0.627	0.568	0.404	0.886	0.966	1.14	1.697	0.943	1.122	0.673	0.661	0.981	1.781	0.672	0.695	0.845	0.693	0.575	0.263	0.602	0.166	0.115	0.878	0.345	1.508
ABTB2	0.646	0.313	0.745	0.505	0.792	0.352	1.586	0.932	1.365	1.339	0.49	0.7	1.289	1.368	0.542	0.644	2.554	1.212	0.599	0.895	0.383	0.953	0.474	0.543	0.323	1.098	0.475	0.724	0.237	1.658
ACAA1	12.15	3.324	13.284	3.628	12.279	4.243	12.478	4.173	21.682	13.926	6.793	5.15	13.569	24.508	12.294	4.987	24.419	14.257	2.182	9.361	2.161	15.287	3.104	8.191	5.354	16.396	12.044	6.973	0.766	35.47
ACAA2	10.591	7.791	18.931	7.558	21.789	7.088	47.27	16.207	61.933	44.187	9.786	6.282	37.319	79.478	39.303	8.104	102.794	48.981	6.157	21.874	4.949	43.134	6.698	17.609	6.641	41.568	35.068	24.724	5.526	83.709
ACACA	9.225	2.914	7.061	3.821	6.086	2.733	8.33	4.662	6.029	7.14	3.529	3.415	4.446	4.214	5.359	3.758	4.906	18.247	7.803	9.564	3.665	3.306	2.525	6.079	3.867	2.808	4.198	2.898	1.143	3.333
ACACB	0.736	1.043	2.665	1.64	1.648	6.526	1.225	1.235	2.002	1.334	1.333	2.717	2.787	3.241	1.295	1.887	3.045	1.85	2.534	1.936	2.624	2.703	1.616	1.266	2.803	1.297	1.814	0.658	0.578	2.6
ACAD10	2.28	1.589	2.988	1.361	3.356	1.571	3.264	1.59	2.685	3.394	2.734	2.19	3.749	4.476	3.924	2.544	4.484	3.157	1.337	2.394	1.207	3.3	0.687	1.62	1.823	1.665	1.532	1.946	0.622	3.175
ACAD11	2.918	2.186	5.446	2.088	3.592	3.434	2.947	1.354	3.896	4.103	3.427	2.295	3.605	3.489	3.953	2.46	3.701	3.95	1.422	3.455	2.74	2.891	1.495	3.442	1.815	2.113	2.097	3.852	1.633	3.381
ACAD8	1.406	0.74	2.524	1.372	2.323	0.679	2.738	0.852	4.276	4.479	1.657	1.852	3.364	4.37	4.601	1.323	5.204	4.821	1.48	1.911	0.853	4.347	0.452	0.362	1.464	2.951	2.115	1.669	0.738	3.688
ACAD9	9.028	2.46	10.194	2.794	10.313	2.953	7.765	2.726	10.924	10.933	3.504	4.034	10.586	9.224	8.22	2.752	11.776	14.524	2.302	7.362	2.921	8.621	2.322	6.199	3.83	7.489	6.698	5.27	1.444	6.971
ACADL	0.135	0.039	0.028	0.129	0.023	0.046	0.178	0.033	0.057	0.109	0.039	0	0	0.03	0.025	0	0.023	0.024	0.218	0	0.069	0	0	0	0.049	0.09	0	0	0	0
ACADM	7.24	3.854	9.999	3.785	9.833	4.449	27.272	4.557	30.29	29.796	4.228	3.015	25.791	50.68	31.614	3.841	38.425	19.926	4.533	12.351	2.811	30.382	2.35	10.683	3.748	16.636	15.597	3.88	1.333	22.925
ACADS	1.125	0.576	1.143	0.765	0.998	1.863	1.41	0.426	4.056	3.608	1.049	0.435	4.458	9.484	3.903	1.035	10.565	2.724	0.652	2.015	0.535	6.948	0.433	1.665	1.048	2.69	2.188	0.992	0.121	10.159
ACADSB	2.348	1.793	2.692	1.828	2.519	2.656	5.51	2.363	6.662	7.167	2.092	2.607	9.599	11.718	6.807	2.195	13.145	10.792	3.322	2.925	1.266	10.03	1.985	2.777	1.619	3.454	2.785	1.665	0.704	5.501
ACADVL	31.483	11.202	64.127	13.735	37.992	16.692	61.355	15.489	105.8	71.823	24.546	16.274	69.206	104.203	81.862	18.04	109.878	69.277	9.066	51.498	10.314	62.709	10.022	35.489	15.393	71.44	44.04	29.958	5.441	81.815
ACAN	0.511	0.109	0.417	0.378	0.146	0.026	0.415	0.434	0.091	0.215	0.125	0.063	0.304	0.097	0.161	0.197	0.033	0.55	0.449	0.715	0.155	0.026	0.395	0.512	0.269	0.038	0.211	0.373	0.105	0.038
ACAP1	0.699	0.421	1.331	0.238	0.852	0.276	0.354	0.228	1.221	0.433	0.235	0.444	2.548	1.86	1.257	0.597	1.21	2.824	0.282	0.63	0.341	1.677	0.066	0.53	0.655	0.984	0.929	0.202	0.093	0.81
ACAP2	5.92	3.808	7.123	3.649	8.2	3.551	9.652	4.52	16.239	13.757	4.127	3.441	21.127	18.537	12.22	4.18	18.711	12.375	5.968	9.499	4.768	13.525	4.1	8.386	4.678	9.508	7.801	6.492	2.268	13.463
ACAP3	4.535	1.149	4.19	1.39	2.17	1.869	3.32	1.52	2.231	1.616	0.998	2.073	1.559	2.193	2.796	1.045	2.772	3.05	1.837	2.755	0.864	1.989	0.574	1.557	0.777	1.7	2.108	0.911	0.309	1.442
ACAT1	5.61	3.03	6.066	2.851	7.71	4.957	32.681	8.438	36.122	18.127	2.798	2.776	32.767	75.538	11.665	2.482	63.119	24.653	2.67	6.158	2.638	47.653	3.962	5.6	3.844	20.505	14.389	7.771	3.042	38.257
ACAT2	17.421	4.239	9.998	3.575	11.608	2.377	25.735	8.578	30.988	14.636	2.276	1.017	19.556	29.019	14.259	2.141	31.687	33.944	2.664	19.353	1.984	12.655	6.318	15.782	3.179	15.181	14.876	8.341	3.145	26.204
ACBD3	12.89	7.417	16.638	6.324	15.64	6.172	28.521	12.41	27.267	24.336	7.324	5.229	22.226	27.11	27.629	6.85	30.51	31.59	8.191	21.173	6.952	22.679	6.336	13.881	6.284	18.839	21.051	11.562	3.258	20.711
ACBD4	0.489	0.696	0.744	0.665	0.715	0.794	0.363	0.296	0.992	1.161	0.845	0.841	0.82	1.446	1.047	1.279	0.89	1.939	1.598	0.573	0.31	1.102	0.181	0.193	0.751	0.61	0.761	0.736	0.169	1.536
ACBD5	9.121	5.21	12.216	4.825	10.79	3.438	18.231	5.391	15.725	36.203	7.174	3.684	13.444	24.468	21.744	5.283	20.899	16.126	4.434	13.532	3.334	13.839	2.537	8.754	2.647	11.199	8.107	5.991	2.184	11.104
ACBD6	8.923	2.999	10.736	2.666	10.097	3.279	18.33	7.122	8.573	14.685	5.78	4.764	8.107	9.144	12.805	3.283	9.337	20.394	3.567	8.364	2.644	6.941	3.186	5.104	4.294	4.232	11.249	5.494	1.294	6.707
ACBD7	1.08	0.498	0.33	0.449	0.868	0.137	0.648	0.315	0.112	1.086	0.4	0.385	0.178	0.561	0.251	0.06	0.251	1.122	0.403	0.26	0.101	0.416	0.049	0.158	0.47	0.067	0.346	1.543	1.103	0.05
ACCS	1.374	1.042	1.325	0.833	1.147	0.511	0.689	0.651	0.752	0.601	1.108	1.316	0.673	1.822	2.43	1.562	1.19	0.825	0.795	0.545	0.606	0.932	0.442	0.943	1.133	0.348	0.826	0.562	0.309	0.826
ACCSL	0.037	0	0.019	0	0	0	0.244	0	0	0.03	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACD	1.207	0.72	1.212	0.577	1.035	0.335	0.878	1.185	1.118	1.982	0.427	2.155	1.367	1.257	1.047	0.529	1.921	1.569	0.737	2.804	0.745	0.792	0.402	1.545	0.648	0.76	2.143	1.166	0.225	0.984
ACE	1.949	4.974	1.739	0.685	0.873	0.464	1.731	0.798	2.672	4.469	1.738	1.795	4.513	3.474	5.43	2.103	2.936	2.841	0.636	3.902	0.95	2.91	0.636	2.294	1.236	2.707	2.679	1.993	0.089	3.277
ACE2	0.865	5.131	10.301	2.535	3.321	0.788	1.425	6.773	5.522	4.408	0.902	0.873	11.448	3.688	4.055	1.086	3.354	67.426	4.651	3.704	0.292	7.729	8.051	2.807	4.912	4.316	7.044	1.555	0.994	4.442
ACER1	0.062	0	0	0	0	0.106	0.034	0.075	0	0	0	0	0	0.023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACER2	0.685	0.791	2.316	1.157	0.848	0.606	1.402	0.859	2.577	6.647	3.559	1.463	2.142	4.438	4.56	2.173	2.957	1.431	0.648	0.431	0.479	1.311	0.757	0.28	1.131	1.887	1.634	1.29	0.081	2.375
ACER3	2.027	2.33	3.345	2.57	4.655	2.967	3.79	2.717	10.322	5.49	1.995	3.002	12.806	9.397	6.972	2.779	10.418	6.828	3.83	2.761	1.403	5.966	2.423	2.183	2.72	5.597	5.047	3.729	1.8	7.604
ACHE	0.228	0.373	0.4	0.31	1.199	0.429	0.075	0.11	1.036	0.055	0.091	0.533	0.908	0.947	0.188	0.301	1.836	0.223	0.165	0.653	0.289	0.632	0.393	0.63	0.391	0.341	0.236	0.043	0.236	1.203
ACIN1	24.822	8.07	29.868	9.523	19.447	12.339	18.845	9.664	19.795	18.595	14.065	15.884	17.676	17.857	19	13.172	20.107	22.161	6.184	16.482	4.984	13.764	4.197	9.362	6.023	12.01	13.003	11.243	2.665	14.551
ACLY	19.689	6.692	15.543	7.053	16.557	4.896	21.682	10.107	20.946	21.208	5.559	5.348	17.286	18.467	16.719	6.076	21.568	59.148	11.305	32.825	7.5	13.85	5.99	22.187	6.852	14.759	17.668	14.772	3.469	14.433
ACMSD	0.269	0	0.028	0	0	0	0.325	0	0	0.043	0	0.148	0.056	0.02	0	0.032	0	0	0.043	0	0	0	0	0	0	0.09	0.186	0	0	0
ACN9	1.441	0.443	1.825	0.757	2.215	0.392	2.484	0.794	3.551	6.289	0.93	0.496	3.141	3.285	4.92	0.61	4.143	5.895	1.031	1.792	0.499	2.954	0.565	0.776	0.562	2.616	2.153	2.343	0.904	1.893
ACO1	5.106	3.893	8.491	3.576	7.243	3.083	14.853	3.817	14.309	18.832	4.033	2.665	17.357	15.583	12.918	3.537	19.294	18.212	4.626	9.791	3.563	11.585	3.181	5.846	3.995	5.306	11.095	5.716	2.618	8.634
ACO2	12.611	6.775	11.518	6.403	9.955	10.885	18.872	6.313	38.198	26.329	7.352	9.914	31.961	41.617	24.401	9.058	57.25	34.253	6.864	14.602	3.243	38.363	5.272	11.357	7.64	29.084	16.07	12.308	2.543	42.135
ACOT1	1.093	0.329	0.325	0.057	0.597	0.216	1.34	0	0.882	2.47	0.336	0.058	0.859	2.375	1.029	0.126	2.403	1.685	0.102	0.657	0.32	1.749	0.207	0.332	0.266	1.399	0.727	1.978	0.145	0.528
ACOT11	3.974	1.429	5.629	1.77	2.339	2.344	4.204	1.517	6.573	4.295	3.817	2.653	3.936	5.755	6.534	2.711	7.909	3.47	2.149	5.073	1.663	4.479	0.735	4.394	1.957	5.456	6.117	1.908	0.274	5.194
ACOT12	0.237	0.048	0.017	0.069	0.028	0	0.372	0	0	0.109	0	0	0.018	0.013	0.021	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT13	2.806	2.086	5.49	2.919	5.786	2.936	4.929	1.449	8.523	14.612	3.52	2.912	12.646	15.508	6.326	3.465	16.966	4.275	1.126	7.988	1.789	11.75	2.154	5.267	1.427	6.454	3.129	3.463	0.476	7.745
ACOT2	1.136	0.539	2.15	1.005	1.265	0.971	2.664	0.413	2.569	5.077	1.075	0.573	4.287	3.416	2.294	0.341	6.316	2.497	0.55	1.085	0.576	4.991	0.28	1.047	1.027	1.765	1.965	1.212	0.392	2.951
ACOT4	0.248	0.235	0.107	0.028	0.172	0.071	0.318	0.05	0.549	0.681	0.105	0.057	0.671	0.417	0.316	0.124	0.805	0.956	0.1	0	0	0.286	0.407	0.489	0.186	0.55	0.857	0.311	0	0.104
ACOT6	0.201	0	0.069	0.046	0	0	0.037	0	0	0.054	0	0	0	0	0.021	0	0	0	0	0	0	0	0	0	0.061	0	0	0	0	0
ACOT7	2.792	1.045	1.062	0.537	3.391	0.772	2.821	1.743	5.187	4.019	0.831	1.281	2.971	3.705	2.002	0.695	5.045	4.9	2.071	5.143	0.501	3.619	0.695	2.116	0.917	4.599	0.976	2.23	0.292	5.033
ACOT8	2.417	1.557	3.355	1.526	1.297	0.885	3.004	1.952	4.426	4.702	0.921	1.584	8.081	7.903	3.714	1.003	9.296	7.023	2.786	8.245	1.168	6.785	1.702	5.68	1.871	1.915	1.99	1.408	0.992	7.52
ACOT9	5.735	3.334	8.999	2.972	8.959	3.135	13.143	6.286	16.207	18.185	3.918	3.276	14.803	11.228	1.48	1.149	12.961	20.404	3.652	15.45	5.246	11.095	4.905	8.627	3.595	10.712	9.312	8.886	3.094	10.982
ACOX1	6.219	5.756	11.59	6.052	6.166	5.338	15.517	7.781	19.235	19.587	6.507	4.544	18.083	34.272	19.182	7.384	32.003	19.283	7.209	20.081	5.957	17.201	5.557	15.117	6.725	10.872	11.447	4.948	2.464	40.647
ACOX2	2.889	1.725	3.795	1.33	1.365	1.497	3.592	1.308	1.898	4.698	1.709	1.647	4.68	2.981	3.74	1.614	3.539	5.876	0.706	3.877	0.592	2.732	0.575	2.996	1.345	1.942	4.643	0.879	0.302	1.614
ACOX3	1.618	0.852	1.803	0.733	1.41	1.363	1.997	0.767	2.213	2.671	1.297	1.388	3.194	2.395	2.309	1.268	2.447	3.321	1.211	2.199	1.071	2.683	0.809	1.481	1.186	1.248	2.027	0.883	0.647	1.178
ACOXL	0.17	0.02	0.22	0.039	1.043	0.049	0.125	0	0.616	0.16	0.114	0.117	0.387	0.425	0.139	0.119	0.455	0.987	0.046	0	0	0.098	0	0	0.077	0.189	0.393	0.053	0	0.143
ACP1	22.078	23.166	23.228	18.057	28.176	9.972	41.609	23.409	43.441	70.358	14.296	13.249	48.062	49.8	48.697	15.099	49.627	47.502	13.717	46.984	16.612	39.711	15.7	37.443	23.211	29.594	54.212	26.336	8.76	31.477
ACP2	2.448	1.806	2.391	1.645	2.068	2.043	1.794	0.953	3.913	3.519	0.848	1.645	5.269	6.151	3.807	1.524	8.748	4.206	1.623	3.568	1.331	4.346	1.006	2.302	1.158	3.734	1.714	2.798	0.502	5.2
ACP5	1.377	1.379	1.383	0.76	0.653	0.446	1.187	0.631	3.28	1.049	0.42	0.922	3.473	3.636	1.344	0.358	11.722	4.046	0.601	0.679	1.417	2.453	0.734	0.588	0.74	4.15	3.734	3.574	1.027	9.637
ACP6	3.652	1.115	4.058	2.306	2.801	1.083	7.414	2.393	3.232	4.65	2.292	2.873	6.328	3.975	6.726	2.106	1.663	3.719	1.684	1.651	0.756	2.456	0.827	1.619	2.155	2.605	3.996	2.876	0.899	2.716
ACPL2	2.351	1.539	2.853	2.118	2.883	1.34	5.343	3.131	3.348	6.326	1.711	1.808	3.03	2.362	3.227	1.21	3.551	5.114	2.376	2.263	2.042	2.791	1.88	1.255	2.143	1.621	1.978	3.947	1.315	2.502
ACPP	2.1	0.892	1.594	0.552	2.77	0.362	1.552	0.641	2.505	3.346	0.925	0.899	5.808	3.329	1.97	0.392	2.645	0.959	0.199	0.782	0.179	1.224	0.348	0.488	0.845	1.263	2.198	1.495	0.426	1.508
ACPT	0	0	0	0	0	0	0.055	0	0.035	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACR	0.344	0.42	0.305	0.702	0	0.168	0.27	0.834	0.172	0.218	0.358	0.474	0.129	0.11	0.105	0.266	0.128	0	0.516	0.128	0.125	0	0	0	0.444	0.327	0.34	0.278	0.17	0.371
ACRBP	0.179	0.153	0.184	0.121	0.626	0.244	0.255	0.13	0.45	0.935	0.403	0.344	0.262	0.468	0.59	0.215	0.665	0.414	0.173	0.279	0.363	0.248	0.088	0.423	0.161	0.059	0	0.134	0.123	0.449
ACRC	1.018	0.378	2.144	0.505	0.974	0.471	0.501	0.308	0.445	0.495	0.71	1.109	1.011	0.682	0.927	0.688	0.533	1.133	0.428	1.823	0.753	0.515	0.261	1.507	0.345	0.282	0.513	0.279	0.146	0.533
ACRV1	0.115	0	0.03	0.117	0.096	0	0.221	0	0	0.023	0.021	0.079	0.06	0	0	0.069	0.075	0.051	0	0	0	0	0	0	0.052	0	0	0	0	0
ACSBG1	0.068	0	0	0	0.019	0	0.025	0.027	0.079	0	0	0	0.047	0.017	0.006916	0	0.039	0.04	0.018	0.059	0	0	0	0	0	0.075	0	0	0	0
ACSBG2	0.099	0	0.026	0.084	0	0.042	0.15	0	0	0.02	0.00904	0	0	0	0.015	0.03	0	0	0.08	0	0	0	0	0	0.022	0	0	0	0	0
ACSF2	1.535	1.179	2.5	0.921	2.412	1.492	4.052	1.276	4.946	5.984	1.642	1.698	6.024	12.658	3.388	1.592	11.653	1.984	1.069	3.842	0.763	7.201	0.964	1.307	0.625	3.155	1.041	1.246	0.415	17.698
ACSF3	2.884	1.125	3.109	0.974	2.132	1.068	2.645	1.001	1.888	2.092	1.464	1.239	1.954	3.423	2.534	1.711	2.809	2.586	0.875	3.015	0.746	2.039	0.906	1.886	0.913	1.376	2.605	0.484	0.19	1.293
ACSL1	6.977	2.838	3.015	1.686	1.065	2.028	9.43	3.861	4.644	3.357	1.16	1.462	4.872	5.162	3.51	1.277	11.459	7.841	3.93	6.689	3.504	2.702	4.19	4.265	3.904	2.711	13.414	3.367	2.198	6.631
ACSL3	15.466	7.549	13.904	5.79	12.927	5.468	22.814	13.121	34.889	27.91	4.97	4.296	27.748	38.45	19.878	4.198	42.327	39.534	5.623	27.09	6.977	25.13	8.036	19.95	9.227	21.005	37.143	16.606	3.516	22.328
ACSL4	7.199	5.253	10.134	4.561	5.494	3.433	8.356	8.553	18.274	7.864	1.82	2.868	13.899	10.204	11.447	3.629	16.323	31.09	6.645	29.152	7.177	8.234	6.133	18.103	5.249	9.71	15.596	12.124	4.224	9.332
ACSL5	41.015	25.789	44.111	19.84	37.058	9.538	67.884	21.584	62.613	114.394	24.805	17.167	76.167	76.641	60.395	18.411	81.27	64.136	19.81	56.403	12.509	53.737	10.957	35.745	19.169	36.056	61.378	40.211	8.811	54.277
ACSL6	1.461	2.29	1.377	0.782	0.203	0.017	9.985	4.709	0.388	0.82	0.085	0.148	0.357	0.208	0.355	0.1	0.228	1.597	0.771	10.813	1.359	0.473	0.576	7.386	0.414	0.195	3.134	0.422	0.034	0.245
ACSM1	0.197	0.07	0.034	0.067	0.11	0.225	0.144	0.04	0.138	0.754	0.311	0.678	1.05	0.541	0.312	0.118	0.555	0.234	0.08	0	0.083	0	0	0.13	0.059	0.219	0	0.062	0.113	0.413
ACSM2A	0.068	0.016	0.012	0	0	0.039	0.175	0.055	0.016	0.027	0.008272	0	0	0	0	0	0.009846	0	0	0	0	0	0	0	0.041	0	0	0.043	0	0
ACSM2B	0.303	0	0	0.056	0.023	0	0.167	0	0.019	0.033	0.01	0	0	0	0.008433	0	0	0	0.022	0	0	0	0	0	0	0	0.095	0	0	0
ACSM3	1.853	1.362	3.475	1.26	8.718	1.86	4.719	1.461	6.335	10.926	2.761	2.55	16.076	17.059	7.665	2.634	14.904	10.9	1.78	1.609	0.821	12.342	0.725	1.51	1.408	3.915	2.442	1.052	0.507	6.726
ACSM4	0.271	0	0.06	0.079	0	0	0.191	0	0.027	0.062	0.014	0	0	0.029	0.035	0.023	0.033	0.069	0.187	0.101	0	0	0	0	0	0.064	0	0	0	0
ACSM5	0	0	0.043	0.038	0	0.047	0.153	0	0.369	0.034	0.01	0	0.044	0.052	0	0	0.288	0.025	0.045	0	0	0.096	0	0	0.05	0	0	0.052	0	0.139
ACSS1	2.414	2.59	3.209	2.348	3.177	2.722	2.929	3.046	3.657	5.937	2.738	3.092	4.374	6.09	8.496	4.544	6.331	20.085	10.483	2.445	1.573	5.755	3.801	1.787	3.907	3.431	3.421	2.492	1.214	3.412
ACSS2	11.142	7.004	4.965	3.129	5.462	8.803	4.001	3.477	18.196	6.43	3.624	8.801	15.56	21.369	9.482	6.215	26.972	9.288	5.415	14.844	3.747	19.467	4.941	10.832	4.061	13.203	7.445	2.82	2.037	24.609
ACSS3	0.378	0.237	0.481	0.438	0.89	0.38	0.354	0.054	0.854	0.313	0.089	0.183	1.327	0.939	0.177	0.187	1.001	0.673	0.412	0.347	0.394	1.541	0.438	0.263	0.562	0.481	0.538	0.711	0.153	0.67
ACTA1	0	0.129	0.116	0.153	0.038	0.309	0.124	0.109	0.126	0.182	0.115	0.124	0.071	0.135	0.041	0.298	0.176	0	0.036	0	0	0	0.222	0	0.082	0	0.156	0	0.311	0.227
ACTA2	20.057	24.759	38.075	28.569	10.091	70.761	15.463	19.668	126.773	54.139	12.013	32.268	172.948	101.432	21.579	13.85	101.081	47.318	28.025	34.425	47.927	103.897	37.955	29.035	51.796	51.427	28.834	67.356	25.227	33.942
ACTB	462.957	376.466	477.784	292.677	621.373	479.922	713.905	565.128	1521.41	838.017	236.97	257.967	1143.955	964.663	558.549	307.399	1301.661	1153.043	372.229	901.234	390.818	564.195	539.87	597.166	461.584	989.858	566.194	852.122	347.961	961.116
ACTBL2	0.048	0	0.05	0.066	0	0	0.066	0.029	0.017	0.029	0.008775	0.066	0.088	0	0	0	0	0	0.019	0	0	0	0	0	0	0	0	0.091	0	0
ACTC1	0.018	0.104	0.019	0.087	0	0.062	0.17	0.044	0.013	0.059	0.033	0.025	0.019	0.048	0.039	0.022	0.047	0.016	0.133	0.048	0.185	0	0.27	0	0.148	0.03	0.063	0.069	0	0
ACTG1	215.775	121.556	215.187	117.381	318.011	96.809	496.733	189.933	812.365	633.554	130.947	130.152	429.718	494.391	258.98	111.901	896.85	649.046	147.551	643.03	134.795	444.59	109.356	414.573	142.971	615.848	349.65	367.178	106.943	512.378
ACTG2	4.556	28.844	11.102	26.648	1.564	283.967	3.644	10.119	55.864	15.649	4.384	19.72	117.685	40.029	3.376	4.29	25.04	11.05	38.647	5.144	56.634	37.921	61.019	6.996	140.359	35.97	6.479	12.578	6.807	21.248
ACTL10	0.332	0.095	0.549	0.09	0.25	0	0.639	0.04	0.767	0.883	0.169	0.32	0.348	0.124	0.488	0.06	0.36	1.066	0.107	0.952	0.253	0.461	0.164	0.394	0.15	0.166	1.609	0.5	0.115	0.251
ACTL6A	13.08	4.406	14.229	4.52	17.859	2.901	28.052	8.565	31.199	40.155	4.695	3.406	17.804	25.453	22.633	3.23	26.765	48.157	5.649	25.051	3.587	19.861	4.618	19.822	3.513	18.53	16.263	16.037	2.682	13.061
ACTL6B	0	0	0.023	0.03	0	0	0.024	0	0	0	0	0	0	0.033	0	0.026	0	0.039	0	0	0	0	0	0	0.04	0	0	0	0	0
ACTL7A	0	0	0.049	0	0	0	0.129	0	0	0	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7B	0	0	0	0	0.04	0	0	0	0	0.019	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL8	0.072	0.026	0.056	0.049	0.181	0	0.099	0	0.025	0.058	0	0	0	0.312	0.044	0	0.235	1.032	0.292	0.094	0	0.377	0	0	0.033	0.06	0	0	0	0
ACTL9	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	30.766	15.937	35.915	17.503	27.412	28.29	44.861	17.721	30.9	53.497	14.577	15.29	38.077	24.909	34.311	13.269	29.277	39.572	14.214	23.661	20.38	19.663	17.393	19.3	24.6	19.905	32.768	41.251	8.947	17.019
ACTN2	0.06	0.074	0.1	0.02	0	0.025	0.237	0	0.021	0.042	0.016	0	0	0.022	0.009104	0.036	0.039	0	0.036	0	0.038	0	0.037	0	0.054	0.05	0	0.028	0	0
ACTN4	48.635	24.006	59.153	30.712	60.702	27.415	50.569	38.522	147.533	96.301	28.237	34.34	80.106	88.309	59.294	29.367	119.202	112.258	34.38	137.403	32.163	67.372	35.788	97.03	25.063	101.205	55.23	45.645	17.391	107.2
ACTR10	3.283	2.103	5.296	2.308	4.308	2.359	8.461	2.641	15.803	16.448	2.791	2.127	14.72	15.468	12.39	1.957	16.923	15.29	3.117	8.482	2.1	10.622	1.972	5.339	2.119	10.101	8.208	5.298	1.998	11.026
ACTR1A	5.207	5.111	7.068	6.444	6.776	6.295	7.784	5.171	11.546	12.489	4.395	4.584	12.622	11.041	7.461	5.033	14.364	17.134	8.233	8.676	5.176	9.597	4.798	5.742	6.229	8.937	7.301	8.344	3.477	11.907
ACTR1B	4.267	3.337	4.912	2.983	5.731	3.826	4.985	3.109	6.49	9.465	4.028	2.957	4.957	7.638	7.439	4.143	7.703	10.555	4.816	6.997	2.044	8.486	1.912	4.595	5.068	4.27	7.328	3.089	1.646	5.325
ACTR2	43.024	32.96	52.684	30.181	59.366	23.279	75.74	46.935	103.043	97.749	28.387	16.974	63.584	91.79	62.833	27.673	91.766	103.154	45.861	61.443	26.33	71.397	36.265	34.762	37.121	66.664	65.878	51.39	23.799	76.709
ACTR3	27.901	23.8	47.128	18.958	37.799	13.38	56.825	33.5	98.618	67.292	12.512	10.02	69.241	94.156	61.285	13.485	102.769	90.755	18.847	82.85	25.526	53.593	25.354	55.527	20.022	66.19	66.602	37.086	13.706	64.254
ACTR3B	1.763	0.628	2.368	1.116	2.893	0.416	1.253	0.847	0.978	1.859	1.006	0.209	1.752	0.989	1.971	0.932	0.658	1.679	0.711	1.9	0.231	0.738	0.749	1.68	1.126	0.91	1.367	1.144	0.524	0.993
