Feature.ID	P1_FF_RPKM_fwd_RNA.Seq	P1_FFPE_RPKM_fwd_RNA.Seq	P2_FF_RPKM_fwd_RNA.Seq	P2_FFPE_RPKM_fwd_RNA.Seq	P3_FF_RPKM_fwd_RNA.Seq	P3_FFPE_RPKM_fwd_RNA.Seq	P4_FFPE_RPKM_fwd_RNA.Seq	P4_FF_RPKM_fwd_RNA.Seq	P5_FFPE_RPKM_fwd_RNA.Seq	P5_FF_RPKM_fwd_RNA.Seq	P6_FF_RPKM_fwd_RNA.Seq	P6_FFPE_RPKM_fwd_RNA.Seq	P7_FFPE_RPKM_fwd_RNA.Seq	P7_FF_RPKM_fwd_RNA.Seq
ACVR2A	2.199	1.298	6.302	1.656	8.293	1.526	1.893	7.008	1.524	7.041	7.064	1.265	1.491	7.875
ACVR2B	0.75	0.491	4.435	2.074	2.445	0.988	1.266	1.935	1.107	2.899	2.678	1.007	1.078	3.347
ACVRL1	0.576	2.054	1.037	0.677	1.467	0.562	0.63	1.674	0.547	1.174	1.771	1.095	0.202	0.906
ACY1	0.825	0.424	4.19	0.993	3.556	0.227	0.64	1.744	0.457	1.712	2.578	0.479	0.371	2.906
ACY3	0.414	0.235	0	0	0.189	0	0	0.39	0	0.718	0.141	0.541	0.068	0
ACYP1	1.337	1.767	2.836	1.144	3.387	1.381	0.518	4.568	0.317	2.915	6.181	1.02	1.03	3.58
ACYP2	0.628	0.166	2.724	0.788	2.261	0.156	1.023	1.931	0.268	1.585	1.991	0.082	0.073	2.225
ADA	0.452	0.066	0.142	0.401	0.08	0	0.175	0.367	0.357	0.188	0.597	0.525	0.116	0.207
ADAD1	0.75	0	0	0	0	0.084	0	0	0.146	0	0	0.045	0	0
ADAD2	0.067	0	0	0	0	0.165	0	0	0.238	0	0.026	0.393	0	0.082
ADAL	1.221	0.359	2.339	0.464	2.682	0.384	0.699	1.901	0.718	1.63	1.551	0.456	0.246	2.06
ADAM10	7.575	3.597	30.784	6.565	49.606	2.183	4.396	30.326	3.569	25.17	42.695	1.996	2.444	41.225
ADAM11	0.192	0.069	0.115	0.04	0.224	0.087	0.081	0.205	0.224	0.131	0.208	0.274	0.061	0.144
ADAM12	0.693	0	0.083	0.038	0.088	0.082	0.179	0.379	0.125	0.093	0.183	0.101	0.114	0.127
ADAM15	1.78	2.075	4.571	2.111	6.56	0.348	1.472	4.819	1.001	5.8	4.344	1.623	0.569	3.705
ADAM17	2.324	2.817	4.667	2.381	9.712	0.693	1.878	9.501	1.41	4.726	7.146	1.407	1.518	6.614
ADAM18	0.753	0.031	0	0	0	0.058	0	0	0.235	0	0	0	0.027	0
ADAM19	0.854	2.148	0.615	1.123	1.253	0.941	1.366	2.206	1.115	0.51	1.09	1.752	0.974	0.713
ADAM2	0.436	0	14.863	6.437	0.233	0	0.541	0.192	0.083	0.163	2.489	0.266	0.168	2.229
ADAM20	0.523	0.255	0.26	0.44	0.11	0.136	0.865	0.544	0.902	0.36	0.458	0.54	0.732	0.34
ADAM21	0.462	0.038	0.816	0.198	0	0	0	0	0.123	0.027	0.274	0.075	0.133	0
ADAM22	1.56	0.801	2.637	1.724	5.452	1.362	3.019	8.38	1.727	2.946	5.343	1.057	1.364	5.688
ADAM23	0.956	0.266	0.308	0.373	0.886	0.374	0.205	0.866	0.215	0.165	0.259	0.132	0.204	0.269
ADAM28	1.338	1.022	2.227	1.788	7.793	0.57	0.9	5.432	0.714	1.816	2.054	1.12	0.435	0.947
ADAM29	0.416	0	0	0.026	0	0	0	0	0	0	0	0	0	0
ADAM30	0.231	0	0	0	0.021	0.127	0	0	0.037	0	0	0.101	0	0
ADAM32	0.958	0	0.505	0.161	0.496	0.14	0.23	0.97	0.602	0.659	0.357	0.074	0.163	1.301
ADAM33	0.808	4.274	0.989	1.296	3.304	0.92	1.779	5.294	1.649	1.531	4.726	2.056	1.01	1.44
ADAM7	0.52	0.179	2.944	0.878	0	0.056	0.026	0.315	0.097	0	0.018	0.385	0.026	0.037
ADAM8	0.349	0.585	0.329	0.213	0.615	0.289	0.19	0.75	0.199	0.348	0.443	0.548	0.081	0.403
ADAM9	6.507	3.124	78.116	12.836	58.839	2.138	4.757	26.706	2.805	28.671	33.605	2.256	3.707	46.804
ADAMDEC1	0.788	0.083	0.268	0.036	0.378	0	0	1.339	0.09	0.265	0.175	0	0.036	0.416
ADAMTS1	1.355	4.326	1.917	2.376	25.366	4.014	7.384	33.229	3.672	5.452	6.536	4.494	6.726	7.204
ADAMTS10	0.581	0.456	0.428	0.29	0.813	0.09	0.464	1.488	0.491	0.526	1.395	0.712	0.21	0.419
ADAMTS12	0.729	0.656	0.263	0.195	0.298	0.231	0.289	0.466	0.376	0.362	0.553	0.385	0.197	0.46
ADAMTS13	0.28	0.103	0.22	0.124	0.212	0	0.127	0.262	0.222	0.189	0.259	0.244	0.126	0.231
ADAMTS14	0.263	0.212	0	0.033	0	0.145	0.051	0.064	0.145	0.041	0.104	0.191	0.084	0
ADAMTS15	0.271	0.286	0.013	0.031	0.26	0.168	0.268	0.555	0.347	0.266	0.129	0.407	0.188	0.268
ADAMTS16	0.572	0.02	0.015	0	0.025	0.077	0.036	0.034	0.22	0.029	0.147	0.121	0.018	0.013
ADAMTS17	0.413	0.209	0.321	0.249	0.165	0.09	0.311	0.311	0.398	0.329	0.356	0.333	0.154	0.29
ADAMTS18	0.845	0.309	0	0.03	0.021	0.097	0.03	0.057	0.204	0	0.072	0.255	0.03	0.011
ADAMTS19	0.785	0	0.028	0.017	0.048	0.037	0.105	0.133	0.129	0.071	0.012	0.02	0.14	0.249
ADAMTS2	0.381	1.423	0.42	0.422	1.488	0.35	0.595	1.568	0.403	0.701	0.827	0.455	0.314	0.761
ADAMTS20	0.751	0	0	0	0	0.066	0	0	0.115	0	0	0.018	0.016	0
ADAMTS3	0.607	0.035	1.344	0.497	1.257	0.033	0.184	0.551	0.15	0.814	0.816	0.104	0.153	1.131
ADAMTS4	0.266	0.727	0.05	0.081	2.598	1.495	1.012	3.937	0.379	0.199	0.647	1.531	1.764	0.234
ADAMTS5	0.891	0.589	0.57	0.345	0.98	0.414	1.148	3.291	0.68	0.535	1.192	0.582	0.984	1.698
ADAMTS6	0.613	0.07	0.179	0.169	0.254	0.183	0.172	0.681	0.301	0.079	0.285	0.304	0.159	0.183
ADAMTS7	0.196	0.222	0.066	0	0.112	0.069	0.033	0.133	0.12	0.065	0.222	0.494	0.081	0.035
ADAMTS8	0.273	0.749	0.594	0.239	1.427	0.416	0.293	2.213	0.329	0.176	1.114	0.576	0.315	0.64
ADAMTS9	1.545	1.07	1.14	0.636	4.441	1.094	1.37	7.542	1.392	2.082	3.599	1.278	0.911	1.282
ADAMTSL1	0.884	0.407	0.299	0.208	1.507	0.262	0.302	1.477	0.452	8.468	0.312	0.477	0.633	3.309
ADAMTSL2	0.279	1.107	0.368	0.127	0.506	0.092	0.216	0.64	0.185	0.295	0.354	0.657	0.215	0.23
ADAMTSL3	1.006	1.219	8.714	2.45	4.192	0.545	0.927	5.263	0.895	1.469	1.869	0.397	1.127	3.169
ADAMTSL4	0.268	1.536	0.118	0.143	0.172	0.443	0.707	0.314	0.255	0.033	0.227	0.795	0.31	0.118
ADAMTSL5	0.43	0.498	0.101	0.123	0.474	0.333	0.783	0.276	0.537	0.352	0.256	0.422	0.404	0.222
ADAP1	0.166	0.613	0.375	0.113	0.53	0.492	0.039	0.557	0.094	0.464	0.394	0.043	0.115	0.436
ADAP2	0.811	0.85	0.685	0.734	1.522	0.069	0.683	1.392	0.438	0.993	0.931	0.95	0.517	0.714
ADAR	8.453	8.697	30.49	10.064	37.098	5.399	7.855	30.628	6.56	22.726	25.639	6.036	5.613	28.736
ADARB1	1.521	2.3	1.918	1.647	2.53	0.922	2.113	2.659	1.387	4.6	2.011	1.273	1.821	3.578
ADARB2	0.237	0	1.574	0.656	0.058	0.023	0.372	0.12	0.078	0.077	0.897	0.346	0.148	0.023
ADAT1	1.8	1.663	2.862	0.717	3.973	0.591	0.883	2.127	0.957	2.513	3.059	0.794	0.376	3.002
ADAT2	0.541	0.065	0.684	0.575	0.807	0.122	0.586	0.693	0.455	1.425	0.965	0.37	0.398	1.256
ADAT3	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0
ADC	0.282	0.279	0.365	0.281	0.451	0.262	0.246	0.593	0.201	0.757	0.503	0.691	0.285	1.306
ADCK1	0.482	0.591	1.103	0.55	1.652	0.085	0.36	1.184	0.392	1.158	1.636	0.675	0.358	1.219
ADCK2	1.106	0.559	3.403	0.742	3.825	0.806	0.757	3.166	0.695	2.34	2.603	0.978	0.451	2.358
ADCK3	1.604	1.807	16.731	2.789	11.402	0.195	1.743	8.123	1.086	9.016	6.938	0.928	1.307	12.239
ADCK4	0.862	1.872	0.987	0.913	1.774	0.763	0.681	1.983	0.745	1.18	1.293	1.529	0.534	1.573
ADCK5	0.352	0.569	0.516	0.223	0.751	0.194	0.046	0.859	0.167	0.695	0.961	0.665	0.136	0.709
ADCY1	0.689	0.724	2.714	0.723	1.152	0.366	0.472	1.315	0.377	1.195	2.257	0.434	0.22	1.302
ADCY10	0.78	0.056	0.214	0.146	0.125	0	0.049	0.083	0.242	0.305	0.079	0.13	0.098	0.187
ADCY2	1.15	1.008	0.487	0.468	9.03	0.32	0.355	3.77	0.301	1.864	1.441	0.751	0.217	1.546
ADCY3	1.031	1.456	2.242	1.376	3.469	1.04	0.956	4.877	0.797	2.091	2.882	1.006	0.364	1.599
ADCY4	0.434	0.929	0.526	0.236	0.43	0.512	0.361	0.802	0.324	0.463	0.884	0.973	0.239	0.306
ADCY5	1.315	4.775	1.645	1.387	2.93	1.218	2.13	5.073	2.257	2.17	4.635	2.554	1.846	1.761
ADCY6	1.63	2.974	6.741	2.645	6.061	1.081	2.23	4.806	1.504	6.66	6.131	2.986	1.168	5.05
ADCY7	0.426	0.695	0.968	0.843	0.832	0.341	0.889	1.394	0.624	0.69	0.615	0.753	0.217	0.537
ADCY8	0.581	0	0.018	0	0.075	0	0.022	0.014	0.053	0	0	0.074	0.022	0
ADCY9	0.716	2.065	1.463	0.828	1.751	0.592	0.532	2.214	0.68	1.088	1.459	0.767	0.633	0.91
ADCYAP1	0.469	0.124	0.177	0.241	0.056	0.291	0.273	0.429	0.301	0.263	0.037	0.337	0.054	0.058
ADCYAP1R1	0.456	0.448	0.099	0.12	0.262	0.493	0.462	0.565	0.416	0.131	0.269	0.657	0.378	0.222
ADD1	10.545	9.983	39.31	10.849	44.949	5.227	6.704	42.356	5.203	29.054	38.118	5.81	5.704	33.919
ADD2	0.401	0.017	0.146	0.133	0.631	0.16	0.09	0.095	0.147	0.048	0.144	0.287	0.179	0.043
ADD3	5.199	5.16	11.73	4.434	13.61	2.264	2.648	14.07	4.093	8.335	11.914	1.52	2.093	14.945
ADGB	0.857	0	0	0	0.012	0.036	0	0.021	0.124	0	0	0.057	0	0.012
ADH1A	0.307	0.203	0.048	0	0.041	0	0	0	0.073	0.144	0	0	0.059	0.084
ADH1B	0.888	1.099	0.297	0.196	0.206	0.142	0.834	1.217	0.939	0.321	0.818	0.3	0.828	0.85
ADH1C	1.357	0.828	0.295	0.655	3.007	0.388	1.396	1.719	0.446	1.365	1.365	0.341	0.603	2.967
ADH4	0.466	0.051	0	0.044	0	0	0.226	0.085	0.111	0.145	0	0.66	0.539	0.16
ADH5	9.71	4.266	46.325	6.003	42.689	1.801	5.649	46.766	3.52	42.248	46.914	2.242	4.773	76.178
ADH6	0.537	0.034	0	0.029	0.061	0	0.238	0.131	0.291	0.024	0	0.201	0.207	0.063
ADH7	0.513	0	0	0	0	0	0	0	0.046	0	0	0.042	0	0
ADHFE1	1.825	2.842	2.142	2.453	5.323	1.709	2.454	4.93	1.502	5.61	5.98	0.955	1.266	6.35
ADI1	14.86	9.095	95.698	18.574	81.181	5.342	7.257	43.588	5.945	56.148	58.415	5.816	7.423	74.751
ADIG	0.2	0	0	0	0	0.247	0	0	0.569	0	0	1.305	0	0
ADIPOQ	0.382	0	0	0	0.013	0.041	0.155	0	0.095	0	0	0.369	0	0
ADIPOR1	6.291	6.962	42.219	10.281	60.463	4.029	6.661	29.784	4.782	30.682	34.789	4.944	4.903	39.459
ADIPOR2	2.734	2.486	10.437	3.295	13.093	1.922	3.045	10.135	2.54	7.863	10.08	2.129	2.331	16.134
ADK	2.458	1.333	5.765	1.402	7.969	0.234	0.77	6.623	0.628	4.653	7.993	0.536	0.547	6.207
ADM	0.902	0.631	1.3	0.666	8.023	0.394	0.679	1.903	0.378	1.537	1.219	1.248	1.165	3.147
ADM2	0.486	0.499	1.001	0.554	0.446	0.357	0.377	0.435	0.307	1.261	0.77	0.8	0.27	0.978
ADNP	7.274	7.267	31.063	12.783	23.701	2.951	7.249	21.662	5.901	25.454	22.57	3.71	4.582	28.988
ADNP2	1.398	1.151	5.246	2.132	5.137	0.636	1.295	4.627	1.341	4.16	5.235	1.623	1.253	5.889
ADO	1.713	1.064	7.863	2.025	8.804	0.972	2.546	7.421	1.441	6.674	8.785	1.187	1.456	9.133
ADORA1	0.237	0.104	0.025	0.03	0.105	0.065	0.184	0.019	0.188	0	0.021	0.275	0.03	0
ADORA2A	0.24	0.238	0.198	0.273	0.216	0.445	0.244	0.395	0.299	0.14	0.285	0.705	0.035	0.123
ADORA2B	0.204	0	0.115	0.14	0.424	0.202	0.047	0.567	0.232	0	0.646	0.213	0.047	0
ADORA3	0.474	0.06	0.043	0.026	0.217	0.056	0.079	0.066	0.161	0.084	0.161	0.059	0.13	0.056
ADPGK	3.815	3.177	13.991	4.969	22.306	0.67	2.936	11.525	1.669	26.612	15.475	1.924	2.431	33.463
ADPRH	1.028	0.916	3.246	1.53	2.898	1.717	1.092	2.471	0.669	2.068	2.834	0.731	0.31	1.547
ADPRHL1	0.212	0	2.235	0.363	0.991	0	0.7	0.699	0.202	1.983	0.449	0.277	0.409	1.603
ADPRHL2	1.227	1.142	6.343	1.348	8.184	0.451	0.582	5.991	0.777	4.758	4.54	1.367	0.263	4.57
ADPRM	1.418	0.402	1.958	0.693	1.985	0.502	0.53	2.076	0.577	3.407	3.211	0.331	0.995	3.797
ADRA1A	1.555	1.456	0.509	0.69	1.676	0.696	2.135	3.826	1.261	1.09	3.286	0.706	1.623	2.028
ADRA1B	0.102	0.045	0	0.039	0	0.085	0.079	0.075	0.049	0	0.135	0.223	0.039	0.028
ADRA1D	0.058	0.114	0	0.033	0.115	0.286	0.772	0.654	0.082	0.108	0.297	0.49	0.1	0.404
ADRA2A	0.337	0.708	2.45	1.29	0.682	0.492	0.761	1.467	0.367	1.112	1.525	1.063	0.596	2.092
ADRA2B	0.212	0.591	0.022	0.054	0.038	0	0.027	0.086	0.134	0	0.112	0.369	0.136	0
ADRA2C	0.079	0.26	1.74	0.403	2.262	0.195	0.274	1.897	0.336	0.697	0.498	0.821	0.091	0.162
ADRB1	0.833	0.604	9.04	4.473	2.644	0.399	2.187	2.261	0.803	5.472	6.301	1.791	1.956	7.17
ADRB2	1.769	0.896	11.997	3.736	8.223	0.653	0.657	3.831	1.18	5.242	5.281	0.689	0.957	7.506
ADRB3	0.145	0.038	0	0.033	0	0.072	0.101	0.043	0.041	0	0	0.38	0	0.048
ADRBK1	4.933	4.043	17.34	6.493	16.253	1.272	3.246	12.534	2.225	18.188	16.646	4.698	0.955	15.375
ADRBK2	2.886	1.246	6.659	2.392	6.595	0.841	1.333	6.146	1.245	5.917	6.633	0.977	1.541	5.798
ADRM1	2.079	1.953	13.154	2.184	11.952	0.407	1.082	9.654	0.468	8.18	8.889	0.93	0.316	8.34
ADSL	4.077	1.558	18.154	5.099	18.984	2.8	2.572	12.047	1.819	12.072	16.623	1.67	1.987	15.905
ADSS	3.813	1.205	21.258	5.075	17.179	0.274	1.736	13.089	1.535	12.911	15.527	1.3	1.501	18.555
ADSSL1	0.629	0.929	0.942	0.295	2.486	0.092	0.387	1.3	0.316	0.38	1.231	0.339	0.257	0.884
ADTRP	0.952	0.055	0.156	0.142	0.728	0	0.048	0.151	0.471	1.508	0.328	0	0.191	0.511
AEBP1	5.425	30.58	7.033	7.8	22.548	5.509	6.947	28.506	7.244	10.315	15.152	7.584	5.749	12.727
AEBP2	2.012	2.38	5.155	3.035	5.169	0.689	1.879	5.854	1.244	3.192	4.69	1.004	1.729	4.668
AEN	0.592	0.359	1.605	0.45	4.639	0.734	1.435	3.919	0.597	2.513	3.285	0.968	0.713	2.622
AES	13.253	24.478	48.976	16.248	64.042	14.806	16.203	44.086	14.482	34.457	46.814	20.999	12.532	35.63
AFAP1	1.326	1.726	3.731	1.636	3.412	0.564	2.083	4.462	1.029	3.476	4.062	1.875	1.418	3.367
AFAP1L1	0.675	0.579	0.688	0.312	0.832	0.317	0.17	1.055	0.26	0.409	0.578	0.716	0.127	0.331
AFAP1L2	1.411	0.946	0.839	0.772	9.483	1.485	0.45	5.28	0.854	0.994	2.421	1.314	0.447	0.86
AFF1	5.748	5.883	17.527	9.466	18.005	5.239	8.244	13.124	6.191	19.555	15.474	5.496	8.027	19.075
AFF2	0.354	0.381	0.057	0.082	0.146	0.123	0.335	0.539	0.276	0.072	0.553	0.174	0.051	0.091
AFF3	5.541	3.304	4.05	2.349	4.164	1.206	1.993	6.908	3.786	42.788	8.145	1.273	5.767	45.678
AFF4	7.173	5.569	30.05	11.113	31.923	4.017	7.441	24.298	6.24	23.178	26.048	2.78	5.946	30.241
AFG3L2	4.216	3.357	19.288	4.072	24.995	1.009	2.453	17.486	1.501	13.051	16.992	1.315	1.634	17.468
AFM	1.039	0.051	0	0	0	0	0	0	0.11	0	0	0	0.044	0
AFMID	2.114	2.737	13.083	4.322	9.341	0.764	2.358	7.579	1.945	5.804	10.09	1.785	1.731	6.933
AFP	0.794	0	0	0	0	0.281	0.044	0	0.323	0	0	0	0	0
AFTPH	4.977	3.746	20.861	5.486	40.763	2.679	4.337	23.555	2.735	23.62	25.336	2.096	2.866	29.304
AGA	2.339	0.677	20.023	2.127	11.933	0.091	0.723	8.377	0.469	10.282	12.631	0.621	0.296	15.661
AGAP1	1.075	1.43	3.328	1.481	2.976	0.603	1.338	2.842	1.002	4.759	4.55	1.132	0.657	3.661
AGAP10	0.882	1.813	0.339	0.41	0.496	0	0.152	0.263	0.186	0.366	0.259	0.342	0	0.161
AGAP11	1.73	4.22	3.285	1.473	3.821	0.121	1.332	4.032	1.319	7.559	4.692	0.733	0.676	4.898
AGAP2	0.492	0.267	0.119	0.259	0.313	0.188	0.073	0.305	0.216	0.177	0.13	0.528	0.146	0.125
AGAP3	1.854	2.598	5.734	1.882	7.685	1.608	1.661	7.045	1.347	5.51	5.349	1.721	0.686	5.041
AGAP4	0.158	0.167	1.699	0.758	0.557	0.078	0.147	0.648	0.225	0.561	1.078	0.041	0.073	1.589
AGAP5	1.806	2.304	2.091	1.916	3.043	0.157	0.811	2.993	0.948	4.382	3.641	0.124	0.22	3.89
AGAP6	1.359	2.676	3.085	1.772	2.574	0	2	4.183	0.553	4.069	3.89	0.834	0.449	2.833
AGAP7	1.366	1.638	1.647	0.471	3.609	0.472	0.48	1.768	0.588	2.642	2.492	0.457	0.147	3.245
AGAP8	0	0	0.03	0.036	0	0	0	0	0.045	0	0	0	0	0
AGAP9	1.546	1.022	2.399	1.249	3.118	0.16	0.112	2.782	0.138	4.604	3.828	0.211	0	3.927
AGBL1	0.55	0.029	0	0	0.37	0.218	0.051	0.596	0.251	0	0	0.374	0.076	0
AGBL2	0.856	0.255	0.141	0.073	0.514	0.053	0.124	0.486	0.274	0.3	0.254	0.14	0	0.423
AGBL3	0.936	0.086	0.328	0.298	0.644	0.108	0.177	0.478	0.279	0.569	0.586	0.028	0.226	0.305
AGBL4	1.029	0.544	0.073	0.029	0.041	0	0	0.132	0.293	0.048	0.061	0.168	0	0
AGBL5	1.917	1.78	2.884	0.885	4.31	0.622	1.222	2.991	1.593	3.988	4.142	2.118	1.266	4.419
AGER	0.513	1.171	0.571	0.213	0.41	0.462	0.325	1.024	0.266	0.566	0.739	0.914	0.377	0.192
AGFG1	1.601	1.279	4.014	1.837	7.11	0.872	2.006	5.874	1.679	4.859	6.296	1.162	1.688	5.342
AGFG2	1.023	1.605	7.788	2.771	3.657	0.832	1.394	2.632	1.115	2.344	3.419	2.193	0.997	3.002
AGGF1	2.881	1.442	15.881	3.773	14.719	0.718	1.805	8.987	2.088	9.224	6.499	0.624	1.143	11.589
AGK	1.892	1.598	5.649	1.769	7.528	0.716	1.254	4.714	1.535	4.347	6.436	0.756	0.76	5.457
AGL	3.087	0.89	10.919	2.871	13.699	0.603	1.698	11.164	1.372	8.576	11.025	0.599	0.93	12.348
AGMAT	0.561	0.322	1.08	0.222	0.468	0.181	0.17	0.232	0.208	0.615	1.256	0.733	0.028	0.562
AGMO	0.714	0.534	0	0	0	0.077	0.036	0	0.133	0.029	0.098	0	0.036	0.077
AGPAT1	1.591	3.133	3.122	2.037	6.806	2.092	3.173	5.989	2.867	4.793	4.708	2.886	2.589	5.858
AGPAT2	0.745	0.788	3.605	0.51	4.768	1.108	0.404	3.527	0.637	2.32	2.44	1.169	0.344	2.005
AGPAT3	1.675	1.753	8.927	3.529	9.865	1.095	2.761	7.903	1.723	8.185	8.084	2.357	1.977	8.108
AGPAT4	0.595	0.503	0.175	0.301	0.648	0.097	0.545	1.107	0.556	0.365	0.534	0.255	0.226	0.523
AGPAT5	1.42	0.534	12.941	2.652	6.561	0.621	1.49	8.133	1.229	5.151	6.873	0.965	0.966	5.574
AGPAT6	1.486	2.19	6.03	1.96	7.447	0.906	1.828	6.475	0.954	5.146	4.306	1.513	1.084	4.577
AGPAT9	0.999	0.209	0.397	0.42	2.778	0.391	0.581	1.771	0.562	0.516	0.771	0.378	0.213	0.455
AGPHD1	0.705	0	2.381	1.139	2.866	0	1.025	2.236	0.502	3.622	2.932	0.23	0.543	3.677
AGPS	1.374	0.862	3.262	1.087	3.17	0.671	0.863	4.817	0.986	1.781	2.694	0.42	0.58	2.305
AGR2	6.334	4.652	622.275	54.774	492.892	3.876	12.283	212.3	3.676	209.146	83.793	3.374	2.622	193.364
AGR3	0.512	0	2.416	1.169	3.855	0	0.358	1.051	0.292	0.096	0.081	0.134	0	0.169
AGRN	1.469	0.805	4.64	1.269	4.719	0.624	0.696	4.11	0.538	3.255	4.2	1.331	0.437	3.216
AGRP	0.201	0	0	0	0	0	0	0	0	0	0	0.132	0	0
AGT	0.387	0.315	0.056	0	0.071	0.221	0.069	0.37	0.169	0.083	0.472	0.233	0.103	0.074
AGTPBP1	1.235	1.127	4.166	1.151	4.691	0.431	0.83	4.47	0.619	3.723	4.88	0.637	0.644	3.598
AGTR1	0.747	0.474	11.952	1.978	2.703	0	0.765	5.101	0.426	4.303	2.536	0.156	0.38	2.193
AGTR2	0.08	0	0	0	0	0	0	0	0	0	0	0	0.031	0
AGTRAP	3.063	2.064	13.759	3.151	15.233	1.191	2.376	8.31	1.198	10.663	12.185	2.826	1.458	10.441
AGXT	0.144	0	0	0	0	0.119	0	0.07	0.137	0	0	0.377	0	0
AGXT2	0.639	0	0	0	0	0.396	0	0	0.046	0	0	0.209	0	0
AGXT2L1	0.68	0	0	0.041	0.057	0.177	0	0.026	0	0	0	0.187	0	0.03
AGXT2L2	2.138	3.584	6.661	3.703	6.936	0.852	1.91	6.039	1.74	7.101	6.961	1.947	0.927	6.482
AHCTF1	3.33	2.967	12.139	3.352	15.176	1.501	2.082	11.546	2.232	9.037	10.995	1.257	1.266	11.856
AHCY	3.604	3.524	25.929	6.427	26.901	1.802	3.912	16.521	2.761	11.604	10.466	2.653	1.541	16.396
AHCYL1	4.611	3.703	16.806	7.237	27.932	3.873	5.689	17.197	4.694	15.009	17.316	3.904	4.883	19.672
AHCYL2	1.437	1.548	14.149	4.614	6.036	2.11	2.198	4.237	1.611	4.786	4.871	1.739	1.6	5.185
AHDC1	0.603	1.627	0.357	0.418	0.729	0.616	0.743	1.265	0.742	0.785	0.994	1.006	0.465	0.585
AHI1	3.506	3.343	7.631	3.91	13.036	0.937	2.047	14.085	1.819	9.5	11.497	1.38	1.627	10.535
AHNAK	35.096	46.659	66.565	35.659	163.755	21.234	33.81	94.769	33.244	130.181	96.042	32.147	22.033	176.772
AHNAK2	0.927	1.393	1.009	0.761	2.27	0.988	1.172	4.182	0.849	1.212	2.418	1.212	0.834	1.255
AHR	2.227	2.278	4.026	2.836	12.879	1.311	2.649	15.802	2.016	3.634	8.143	1.142	2.12	5.14
AHRR	0.353	0.521	0.026	0.046	0.174	0.269	0.047	0.05	0.174	0.051	0.204	0.231	0.031	0.067
AHSA1	8.291	4.646	49.698	9.771	40.465	2.449	3.961	37.146	3.285	24.988	34.291	2.225	2.476	30.402
AHSA2	4.869	4.761	9.947	6.307	17.513	2.514	5.665	17.38	3.504	11.542	17.025	2.785	3.694	10.427
AHSG	0.391	0	0	0	0	0	0	0	0.139	0	0	0.128	0	0
AHSP	0.456	0	0	0	0	0	0.177	0	0.216	0	0	0.199	0	0
AICDA	0.193	0.291	0.052	0.031	0.022	0	0.096	0.04	0.157	0	0.022	0.216	0.032	0
AIDA	3.503	2.772	8.366	3.413	10.252	2.662	3.838	9.886	2.44	7.145	7.316	2.541	3.341	9.545
AIF1	0.842	1.506	0.981	0.678	3.448	0.246	0.807	4.642	1.481	1.713	2.041	2.007	1.145	1.143
AIF1L	0.547	0.231	6.144	1.547	2.432	1.301	0.763	1.057	1.371	2.677	2.323	0.858	1.365	1.279
AIFM1	1.441	1.874	6.392	2.102	8.733	0.293	0.605	5.223	0.471	6.402	7.021	1.112	0.273	7.085
AIFM2	0.828	0.438	1.851	0.351	1.457	0.879	0.963	1.888	0.505	1.238	1.406	0.618	0.93	0.721
AIFM3	0.243	0.04	0.172	0.104	0.535	0.377	0	0.356	0.043	0.17	0.145	0.199	0.035	0.075
AIG1	2.942	2.275	14.548	3.926	10.836	0.688	2.325	12.963	1.818	10.788	16.759	0.726	0.513	16.418
AIM1	8.386	3.471	38.21	8.174	40.841	2.018	4.026	26.684	3.551	59.528	42.154	1.849	6.059	61.132
AIM1L	0.278	0	0	0	0.023	0.036	0.017	0.021	0.188	0.027	0	0.192	0.136	0
AIM2	0.725	0.548	0.342	0.355	0.29	0	0.06	0.493	0.148	0.194	0.328	0.609	0	0.384
AIMP1	2.899	2.524	16.758	3.119	18.334	0.759	1.371	12.064	1.645	9.869	14.18	1.263	1.117	12.159
AIMP2	1.576	1.167	11.415	1.583	10.95	0.625	1.027	7.295	0.269	5.421	9.546	0.33	0.364	8.158
AIP	1.808	1.236	6.172	0.996	10.925	0.773	0.725	7.349	0.444	5.069	6.621	1.793	0.577	6.832
AIPL1	0.259	0.034	0	0	0	0	0.06	0	0	0.024	0.021	0.101	0	0
AIRE	0.267	0	0	0	0	0.166	0	0	0	0	0	0.35	0.077	0
AJAP1	0.209	0.306	0.35	0.106	0.575	0.172	0.216	0.628	0.198	0.195	0.165	0.364	0.027	0.191
AJUBA	1.117	1.306	1.252	0.647	3.486	0.361	0.678	4.162	0.738	0.772	1.81	0.572	0.468	1.188
AK1	0.577	2.287	2.431	0.967	2.036	0.673	0.789	2.931	0.242	1.11	1.828	0.887	0.431	0.894
AK2	2.828	3.506	10.782	4.281	15.342	2.561	4.477	10.275	2.615	9.721	11.941	2.791	2.971	10.902
AK3	2.594	1.011	11.619	3.32	11.259	1.36	2.69	11.629	2.013	8.066	9.86	1.305	1.653	11.018
AK4	3.064	1.266	7.603	2.391	18.982	1.635	2.215	6.893	1.773	9.275	8.515	1.585	1.574	11.29
AK5	0.461	0	0.084	0.061	0.497	0	0.165	2.259	0.101	0.215	0.365	0.348	0.02	0.117
